START_ID|END_ID
D_2.0|Q_0.1
D_2.1|Q_0.1
D_2.2|Q_0.1
D_3.0|Q_0.2
D_5.0|Q_0.4
D_5.1|Q_0.4
D_6.0|Q_0.5
D_8.0|Q_0.7
D_9.0|Q_0.8
D_9.1|Q_0.8
D_9.2|Q_0.8
D_10.0|Q_0.9
D_10.1|Q_0.9
D_10.2|Q_0.9
D_10.3|Q_0.9
D_10.4|Q_0.9
D_11.0|Q_0.10
D_12.0|Q_0.11
D_12.1|Q_0.11
D_12.2|Q_0.11
D_12.3|Q_0.11
D_13.0|Q_0.12
D_13.1|Q_0.12
D_13.2|Q_0.12
D_14.0|Q_0.13
D_14.1|Q_0.13
D_15.0|Q_0.14
D_16.0|Q_0.15
D_17.0|Q_0.16
D_17.1|Q_0.16
D_17.2|Q_0.16
D_17.3|Q_0.16
D_19.0|Q_0.18
D_19.1|Q_0.18
D_20.0|Q_0.19
D_20.1|Q_0.19
D_20.2|Q_0.19
D_20.3|Q_0.19
D_20.4|Q_0.19
D_21.0|Q_0.20
D_21.1|Q_0.20
D_22.0|Q_0.21
D_23.0|Q_0.22
D_23.1|Q_0.22
D_23.2|Q_0.22
D_23.3|Q_0.22
D_24.0|Q_0.23
D_24.1|Q_0.23
D_24.2|Q_0.23
D_25.0|Q_0.24
D_26.0|Q_0.25
D_26.1|Q_0.25
D_27.0|Q_0.26
D_28.0|Q_0.27
D_28.1|Q_0.27
D_28.2|Q_0.27
D_29.0|Q_0.28
D_29.1|Q_0.28
D_29.2|Q_0.28
D_29.3|Q_0.28
D_30.0|Q_0.29
D_30.1|Q_0.29
D_31.0|Q_0.30
D_31.1|Q_0.30
D_31.2|Q_0.30
D_31.3|Q_0.30
D_32.0|Q_0.31
D_32.1|Q_0.31
D_32.2|Q_0.31
D_32.3|Q_0.31
D_32.4|Q_0.31
D_33.0|Q_0.32
D_33.1|Q_0.32
D_33.2|Q_0.32
D_33.3|Q_0.32
D_34.0|Q_0.33
D_34.1|Q_0.33
D_36.0|Q_0.35
D_36.1|Q_0.35
D_37.0|Q_0.36
D_37.1|Q_0.36
D_37.2|Q_0.36
D_38.0|Q_0.37
D_38.1|Q_0.37
D_38.2|Q_0.37
D_39.0|Q_0.38
D_39.1|Q_0.38
D_40.0|Q_0.39
D_40.1|Q_0.39
D_40.2|Q_0.39
D_42.0|Q_0.41
D_43.0|Q_0.42
D_44.0|Q_0.43
D_44.1|Q_0.43
D_44.2|Q_0.43
D_45.0|Q_0.44
D_46.0|Q_0.45
D_46.1|Q_0.45
D_46.2|Q_0.45
D_46.3|Q_0.45
D_46.4|Q_0.45
D_47.0|Q_0.46
D_47.1|Q_0.46
D_47.2|Q_0.46
D_48.0|Q_0.47
D_48.1|Q_0.47
D_48.2|Q_0.47
D_48.3|Q_0.47
D_49.0|Q_0.48
D_49.1|Q_0.48
D_49.2|Q_0.48
D_49.3|Q_0.48
D_49.4|Q_0.48
D_50.0|Q_0.49
D_52.0|Q_0.51
D_52.1|Q_0.51
D_53.0|Q_0.52
D_54.0|Q_0.53
D_54.1|Q_0.53
D_54.2|Q_0.53
D_55.0|Q_0.54
D_55.1|Q_0.54
D_55.2|Q_0.54
D_55.3|Q_0.54
D_56.0|Q_0.55
D_56.1|Q_0.55
D_56.2|Q_0.55
D_57.0|Q_0.56
D_58.0|Q_0.57
D_58.1|Q_0.57
D_58.2|Q_0.57
D_58.3|Q_0.57
D_58.4|Q_0.57
D_59.0|Q_0.58
D_60.0|Q_0.59
D_60.1|Q_0.59
D_60.2|Q_0.59
D_60.3|Q_0.59
D_60.4|Q_0.59
D_61.0|Q_0.60
D_61.1|Q_0.60
D_61.2|Q_0.60
D_61.3|Q_0.60
D_61.4|Q_0.60
D_63.0|Q_0.62
D_63.1|Q_0.62
D_63.2|Q_0.62
D_64.0|Q_0.63
D_64.1|Q_0.63
D_64.2|Q_0.63
D_65.0|Q_0.64
D_65.1|Q_0.64
D_65.2|Q_0.64
D_65.3|Q_0.64
D_65.4|Q_0.64
