START_ID|END_ID
M_0.2.0|P_486
M_0.3.0|P_163
M_0.4.0|P_275
M_0.5.0|P_175
M_0.5.1|P_453
M_0.5.2|P_224
M_0.6.0|P_405
M_0.6.1|P_33
M_0.7.0|P_303
M_0.8.0|P_304
M_0.9.0|P_264
M_0.9.1|P_478
M_0.9.2|P_163
M_0.10.0|P_250
M_0.11.0|P_166
M_0.11.1|P_306
M_0.12.0|P_408
M_0.12.1|P_163
M_0.12.2|P_251
M_0.13.0|P_11
M_0.13.1|P_383
M_0.13.2|P_94
M_0.14.0|P_143
M_0.14.1|P_371
M_0.14.2|P_12
M_0.15.0|P_471
M_0.15.1|P_428
M_0.16.0|P_252
M_0.16.1|P_89
M_0.17.0|P_18
M_0.17.1|P_138
M_0.18.0|P_58
M_0.18.1|P_442
M_0.21.0|P_361
M_0.21.1|P_178
M_0.21.2|P_100
M_0.22.0|P_129
M_0.22.1|P_484
M_0.22.2|P_365
M_0.23.0|P_372
M_0.23.1|P_106
M_0.24.0|P_125
M_0.24.1|P_309
M_0.24.2|P_390
M_0.27.0|P_336
M_0.27.1|P_259
M_0.28.0|P_343
M_0.29.0|P_401
M_0.30.0|P_174
M_0.30.1|P_440
M_0.30.2|P_499
M_0.31.0|P_65
M_0.31.1|P_14
M_0.32.0|P_404
M_0.33.0|P_175
M_0.34.0|P_46
M_0.36.0|P_464
M_0.37.0|P_226
M_0.42.0|P_132
M_0.43.0|P_234
M_0.43.1|P_146
M_0.44.0|P_22
M_0.44.1|P_339
M_0.44.2|P_419
M_0.45.0|P_195
M_0.45.1|P_319
M_0.46.0|P_480
M_0.47.0|P_167
M_0.48.0|P_154
M_0.48.1|P_345
M_0.49.0|P_433
M_0.49.1|P_426
M_0.51.0|P_182
M_0.51.1|P_107
M_0.53.0|P_152
M_0.53.1|P_223
M_0.53.2|P_496
M_0.54.0|P_331
M_0.56.0|P_425
M_0.56.1|P_134
M_0.56.2|P_91
M_0.57.0|P_385
M_0.58.0|P_436
M_0.58.1|P_251
M_0.58.2|P_33
M_0.59.0|P_430
M_0.61.0|P_240
M_0.61.1|P_472
M_0.62.0|P_143
M_0.63.0|P_465
M_0.63.1|P_486
M_0.64.0|P_98
M_0.64.1|P_13
M_0.64.2|P_284
M_0.65.0|P_457
M_0.65.1|P_170
M_0.65.2|P_492
M_0.67.0|P_275
M_0.69.0|P_11
M_0.69.1|P_285
M_0.69.2|P_312
M_0.71.0|P_180
M_0.72.0|P_491
M_0.75.0|P_97
M_0.75.1|P_250
M_0.76.0|P_393
M_0.78.0|P_387
M_0.79.0|P_475
M_0.80.0|P_76
M_0.80.1|P_200
M_0.81.0|P_198
M_0.82.0|P_144
M_0.82.1|P_458
M_0.82.2|P_293
M_0.84.0|P_356
M_0.84.1|P_467
M_0.84.2|P_332
M_0.85.0|P_3
M_0.85.1|P_351
M_0.85.2|P_42
M_0.88.0|P_111
M_0.90.0|P_124
M_0.90.1|P_82
M_0.90.2|P_87
M_0.91.0|P_177
M_0.91.1|P_23
M_0.93.0|P_277
M_0.93.1|P_297
M_0.93.2|P_375
M_0.94.0|P_480
M_0.94.1|P_268
M_0.95.0|P_184
M_0.96.0|P_410
M_0.96.1|P_70
M_0.99.0|P_472
M_0.99.1|P_338
M_0.99.2|P_20
M_1.2.0|P_73
M_1.2.1|P_166
M_1.2.2|P_297
M_1.3.0|P_439
M_1.3.1|P_271
M_1.3.2|P_135
M_1.4.0|P_110
M_1.4.1|P_50
M_1.5.0|P_367
M_1.5.1|P_239
M_1.6.0|P_204
M_1.6.1|P_109
M_1.7.0|P_228
M_1.8.0|P_102
M_1.8.1|P_319
M_1.8.2|P_436
M_1.9.0|P_171
M_1.9.1|P_145
M_1.11.0|P_287
M_1.11.1|P_55
M_1.11.2|P_486
M_1.12.0|P_45
M_1.12.1|P_323
M_1.12.2|P_249
M_1.13.0|P_228
M_1.13.1|P_282
M_1.14.0|P_361
M_1.14.1|P_277
M_1.14.2|P_174
M_1.15.0|P_4
M_1.16.0|P_93
M_1.17.0|P_289
M_1.17.1|P_84
M_1.18.0|P_490
M_1.18.1|P_99
M_1.18.2|P_133
M_1.19.0|P_330
M_1.19.1|P_244
M_1.19.2|P_342
M_1.20.0|P_382
M_1.21.0|P_195
M_1.22.0|P_372
M_1.22.1|P_424
M_1.22.2|P_65
M_1.23.0|P_104
M_1.23.1|P_229
M_1.24.0|P_253
M_1.24.1|P_394
M_1.25.0|P_198
M_1.25.1|P_233
M_1.26.0|P_382
M_1.26.1|P_482
M_1.26.2|P_234
M_1.27.0|P_271
M_1.28.0|P_404
M_1.28.1|P_472
M_1.28.2|P_493
M_1.29.0|P_360
M_1.29.1|P_341
M_1.30.0|P_65
M_1.30.1|P_170
M_1.30.2|P_211
M_1.32.0|P_423
M_1.32.1|P_225
M_1.32.2|P_267
M_1.33.0|P_330
M_1.33.1|P_13
M_1.34.0|P_161
M_1.35.0|P_167
M_1.35.1|P_357
M_1.36.0|P_169
M_1.36.1|P_110
M_1.36.2|P_423
M_1.37.0|P_164
M_1.39.0|P_348
M_1.39.1|P_148
M_1.39.2|P_393
M_1.41.0|P_206
M_1.41.1|P_259
M_1.42.0|P_329
M_1.42.1|P_56
M_1.42.2|P_69
M_1.43.0|P_439
M_1.43.1|P_449
M_1.44.0|P_42
M_1.44.1|P_291
M_1.45.0|P_169
M_1.45.1|P_100
M_1.45.2|P_317
M_1.47.0|P_390
M_1.47.1|P_312
M_1.47.2|P_49
M_1.48.0|P_138
M_1.48.1|P_458
M_1.49.0|P_77
M_1.49.1|P_60
M_1.49.2|P_263
M_1.51.0|P_306
M_1.51.1|P_141
M_1.52.0|P_189
M_1.54.0|P_357
M_1.54.1|P_424
M_1.55.0|P_322
M_1.55.1|P_217
M_1.56.0|P_201
M_1.57.0|P_450
M_1.57.1|P_137
M_1.58.0|P_352
M_1.60.0|P_236
M_1.60.1|P_112
M_1.60.2|P_107
M_1.61.0|P_341
M_1.61.1|P_257
M_1.61.2|P_87
M_1.62.0|P_77
M_1.62.1|P_114
M_1.62.2|P_77
M_1.63.0|P_482
M_1.63.1|P_366
M_1.67.0|P_251
M_1.67.1|P_329
M_1.67.2|P_490
M_1.68.0|P_339
M_1.68.1|P_326
M_1.68.2|P_201
M_1.69.0|P_59
M_1.69.1|P_253
M_1.69.2|P_90
M_1.70.0|P_436
M_1.70.1|P_16
M_1.71.0|P_322
M_1.71.1|P_314
M_1.72.0|P_48
M_1.74.0|P_303
M_1.75.0|P_60
M_1.75.1|P_328
M_1.75.2|P_82
M_1.76.0|P_351
M_1.76.1|P_237
M_1.77.0|P_68
M_1.77.1|P_227
M_1.78.0|P_34
M_1.80.0|P_225
M_1.81.0|P_370
M_1.81.1|P_190
M_1.81.2|P_78
M_1.82.0|P_135
M_1.83.0|P_443
M_1.83.1|P_185
M_1.83.2|P_485
M_1.84.0|P_77
M_1.84.1|P_86
M_1.84.2|P_138
M_1.85.0|P_155
M_1.85.1|P_365
M_1.86.0|P_66
M_1.86.1|P_121
M_1.87.0|P_31
M_1.87.1|P_154
M_1.87.2|P_124
M_1.88.0|P_111
M_1.89.0|P_80
M_1.89.1|P_97
M_1.89.2|P_210
M_1.90.0|P_321
M_1.90.1|P_73
M_1.91.0|P_294
M_1.91.1|P_498
M_1.91.2|P_203
M_1.92.0|P_34
M_1.93.0|P_178
M_1.93.1|P_472
M_1.93.2|P_55
M_1.94.0|P_234
M_1.94.1|P_408
M_1.94.2|P_27
M_1.98.0|P_385
M_1.98.1|P_151
M_1.98.2|P_386
M_1.99.0|P_423
M_1.99.1|P_433
M_1.99.2|P_397
M_2.1.0|P_246
M_2.2.0|P_158
M_2.2.1|P_344
M_2.5.0|P_363
M_2.5.1|P_67
M_2.6.0|P_427
M_2.6.1|P_328
M_2.7.0|P_299
M_2.7.1|P_46
M_2.7.2|P_122
M_2.8.0|P_154
M_2.8.1|P_242
M_2.8.2|P_103
M_2.10.0|P_276
M_2.10.1|P_200
M_2.12.0|P_381
M_2.12.1|P_162
M_2.12.2|P_323
M_2.14.0|P_437
M_2.15.0|P_158
M_2.16.0|P_416
M_2.16.1|P_312
M_2.16.2|P_322
M_2.17.0|P_310
M_2.17.1|P_83
M_2.17.2|P_436
M_2.18.0|P_276
M_2.20.0|P_449
M_2.20.1|P_196
M_2.20.2|P_42
M_2.21.0|P_32
M_2.21.1|P_99
M_2.23.0|P_244
M_2.23.1|P_54
M_2.23.2|P_212
M_2.24.0|P_236
M_2.24.1|P_296
M_2.25.0|P_414
M_2.27.0|P_198
M_2.27.1|P_65
M_2.28.0|P_457
M_2.28.1|P_92
M_2.29.0|P_378
M_2.30.0|P_64
M_2.30.1|P_428
M_2.30.2|P_410
M_2.33.0|P_185
M_2.33.1|P_157
M_2.34.0|P_405
M_2.34.1|P_237
M_2.34.2|P_69
M_2.35.0|P_165
M_2.35.1|P_441
M_2.36.0|P_162
M_2.37.0|P_367
M_2.37.1|P_244
M_2.38.0|P_425
M_2.38.1|P_187
M_2.40.0|P_110
M_2.41.0|P_102
M_2.42.0|P_414
M_2.42.1|P_347
M_2.43.0|P_27
M_2.44.0|P_440
M_2.44.1|P_193
M_2.45.0|P_146
M_2.46.0|P_379
M_2.46.1|P_466
M_2.46.2|P_468
M_2.47.0|P_287
M_2.47.1|P_87
M_2.47.2|P_303
M_2.49.0|P_243
M_2.50.0|P_20
M_2.50.1|P_45
M_2.51.0|P_485
M_2.51.1|P_221
M_2.53.0|P_415
M_2.54.0|P_112
M_2.54.1|P_287
M_2.55.0|P_154
M_2.56.0|P_487
M_2.56.1|P_134
M_2.58.0|P_134
M_2.58.1|P_268
M_2.59.0|P_188
M_2.59.1|P_435
M_2.62.0|P_151
M_2.62.1|P_283
M_2.62.2|P_238
M_2.63.0|P_460
M_2.63.1|P_229
M_2.64.0|P_422
M_2.64.1|P_243
M_2.65.0|P_237
M_2.66.0|P_353
M_2.67.0|P_302
M_2.67.1|P_1
M_2.67.2|P_209
M_2.68.0|P_483
M_2.71.0|P_348
M_2.72.0|P_243
M_2.72.1|P_268
M_2.73.0|P_324
M_2.74.0|P_388
M_2.74.1|P_309
M_2.74.2|P_349
M_2.75.0|P_498
M_2.75.1|P_448
M_2.75.2|P_116
M_2.80.0|P_411
