START_ID|END_ID
Q_0.1|A_0
Q_0.2|A_0
Q_0.3|A_0
Q_0.4|A_0
Q_0.5|A_0
Q_0.6|A_0
Q_0.7|A_0
Q_0.8|A_0
Q_0.9|A_0
Q_0.10|A_0
Q_0.11|A_0
Q_0.12|A_0
Q_0.13|A_0
Q_0.14|A_0
Q_0.15|A_0
Q_0.16|A_0
Q_0.17|A_0
Q_0.18|A_0
Q_0.19|A_0
Q_0.20|A_0
Q_0.21|A_0
Q_0.22|A_0
Q_0.23|A_0
Q_0.24|A_0
Q_0.25|A_0
Q_0.26|A_0
Q_0.27|A_0
Q_0.28|A_0
Q_0.29|A_0
Q_0.30|A_0
Q_0.31|A_0
Q_0.32|A_0
Q_0.33|A_0
Q_0.34|A_0
Q_0.35|A_0
Q_0.36|A_0
Q_0.37|A_0
Q_0.38|A_0
Q_0.39|A_0
Q_0.40|A_0
Q_0.41|A_0
Q_0.42|A_0
Q_0.43|A_0
Q_0.44|A_0
Q_0.45|A_0
Q_0.46|A_0
Q_0.47|A_0
Q_0.48|A_0
Q_0.49|A_0
Q_0.50|A_0
Q_0.51|A_0
Q_0.52|A_0
Q_0.53|A_0
Q_0.54|A_0
Q_0.55|A_0
Q_0.56|A_0
Q_0.57|A_0
Q_0.58|A_0
Q_0.59|A_0
Q_0.60|A_0
Q_0.61|A_0
Q_0.62|A_0
Q_0.63|A_0
Q_0.64|A_0
Q_0.65|A_0
Q_0.66|A_0
Q_0.67|A_0
Q_0.68|A_0
Q_0.69|A_0
Q_0.70|A_0
Q_0.71|A_0
Q_0.72|A_0
Q_0.73|A_0
Q_0.74|A_0
Q_0.75|A_0
Q_0.76|A_0
Q_0.77|A_0
Q_0.78|A_0
Q_0.79|A_0
Q_0.80|A_0
Q_0.81|A_0
Q_0.82|A_0
Q_0.83|A_0
Q_0.84|A_0
Q_0.85|A_0
Q_0.86|A_0
Q_0.87|A_0
Q_0.88|A_0
Q_0.89|A_0
Q_0.90|A_0
Q_0.91|A_0
Q_0.92|A_0
Q_0.93|A_0
Q_0.94|A_0
Q_0.95|A_0
Q_0.96|A_0
Q_0.97|A_0
Q_0.98|A_0
Q_0.99|A_0
Q_1.1|A_1
Q_1.2|A_1
Q_1.3|A_1
Q_1.4|A_1
Q_1.5|A_1
Q_1.6|A_1
Q_1.7|A_1
Q_1.8|A_1
Q_1.9|A_1
Q_1.10|A_1
Q_1.11|A_1
Q_1.12|A_1
Q_1.13|A_1
Q_1.14|A_1
Q_1.15|A_1
Q_1.16|A_1
Q_1.17|A_1
Q_1.18|A_1
Q_1.19|A_1
Q_1.20|A_1
Q_1.21|A_1
Q_1.22|A_1
Q_1.23|A_1
Q_1.24|A_1
Q_1.25|A_1
Q_1.26|A_1
Q_1.27|A_1
Q_1.28|A_1
Q_1.29|A_1
Q_1.30|A_1
Q_1.31|A_1
Q_1.32|A_1
Q_1.33|A_1
Q_1.34|A_1
Q_1.35|A_1
Q_1.36|A_1
Q_1.37|A_1
Q_1.38|A_1
Q_1.39|A_1
Q_1.40|A_1
Q_1.41|A_1
Q_1.42|A_1
