START_ID|END_ID
D_2.0|C_4200
D_2.1|C_2900
D_2.2|C_800
D_3.0|C_1900
D_5.0|C_3400
D_5.1|C_1100
D_6.0|C_2400
D_8.0|C_800
D_9.0|C_4300
D_9.1|C_2600
D_9.2|C_1100
D_10.0|C_200
D_10.1|C_1400
D_10.2|C_1100
D_10.3|C_3800
D_10.4|C_4700
D_11.0|C_1500
D_12.0|C_2900
D_12.1|C_2900
D_12.2|C_1000
D_12.3|C_1100
D_13.0|C_300
D_13.1|C_0
D_13.2|C_4100
D_14.0|C_4000
D_14.1|C_2200
D_15.0|C_3900
D_16.0|C_3700
D_17.0|C_3300
D_17.1|C_4800
D_17.2|C_4800
D_17.3|C_200
D_19.0|C_1700
D_19.1|C_0
D_20.0|C_3800
D_20.1|C_1800
D_20.2|C_4200
D_20.3|C_700
D_20.4|C_2000
D_21.0|C_4600
D_21.1|C_3500
D_22.0|C_1600
D_23.0|C_2700
D_23.1|C_2800
D_23.2|C_3500
D_23.3|C_2600
D_24.0|C_3100
D_24.1|C_300
D_24.2|C_2700
D_25.0|C_4400
D_26.0|C_4800
D_26.1|C_300
D_27.0|C_1900
D_28.0|C_300
D_28.1|C_3200
D_28.2|C_4600
D_29.0|C_2500
D_29.1|C_1900
D_29.2|C_2800
D_29.3|C_600
D_30.0|C_1700
D_30.1|C_2200
D_31.0|C_1600
D_31.1|C_3100
D_31.2|C_3000
D_31.3|C_2700
D_32.0|C_500
D_32.1|C_5000
D_32.2|C_4800
D_32.3|C_2800
D_32.4|C_1000
D_33.0|C_3300
D_33.1|C_4100
D_33.2|C_4200
D_33.3|C_800
D_34.0|C_1400
D_34.1|C_4200
D_36.0|C_3500
D_36.1|C_800
D_37.0|C_4000
D_37.1|C_1100
D_37.2|C_3100
D_38.0|C_2100
D_38.1|C_4200
D_38.2|C_4700
D_39.0|C_3700
D_39.1|C_800
D_40.0|C_600
D_40.1|C_2400
D_40.2|C_4100
D_42.0|C_3500
D_43.0|C_3500
D_44.0|C_4400
D_44.1|C_500
D_44.2|C_0
D_45.0|C_3600
D_46.0|C_3400
D_46.1|C_400
D_46.2|C_2200
D_46.3|C_1800
D_46.4|C_1900
D_47.0|C_2400
D_47.1|C_4700
D_47.2|C_3100
D_48.0|C_3800
D_48.1|C_1500
D_48.2|C_4500
D_48.3|C_4800
D_49.0|C_1800
D_49.1|C_3800
D_49.2|C_3000
D_49.3|C_4300
D_49.4|C_1600
D_50.0|C_1600
D_52.0|C_2300
D_52.1|C_3100
D_53.0|C_1300
D_54.0|C_2000
D_54.1|C_4800
D_54.2|C_4400
D_55.0|C_2300
D_55.1|C_2100
D_55.2|C_3800
D_55.3|C_1600
D_56.0|C_4400
D_56.1|C_3300
D_56.2|C_600
D_57.0|C_1100
D_58.0|C_400
D_58.1|C_4200
D_58.2|C_3600
D_58.3|C_900
D_58.4|C_1100
