START_ID|END_ID
C_0|CL_0
C_1|CL_1
C_2|CL_2
C_3|CL_3
C_4|CL_4
C_5|CL_5
C_6|CL_6
C_7|CL_7
C_8|CL_8
C_9|CL_9
C_10|CL_10
C_11|CL_11
C_12|CL_12
C_13|CL_13
C_14|CL_14
C_15|CL_15
C_16|CL_16
C_17|CL_17
C_18|CL_18
C_19|CL_19
C_20|CL_20
C_21|CL_21
C_22|CL_22
C_23|CL_23
C_24|CL_24
C_25|CL_25
C_26|CL_26
C_27|CL_27
C_28|CL_28
C_29|CL_29
C_30|CL_30
C_31|CL_31
C_32|CL_32
C_33|CL_33
C_34|CL_34
C_35|CL_35
C_36|CL_36
C_37|CL_37
C_38|CL_38
C_39|CL_39
C_40|CL_40
C_41|CL_41
C_42|CL_42
C_43|CL_43
C_44|CL_44
C_45|CL_45
C_46|CL_46
C_47|CL_47
C_48|CL_48
C_49|CL_49
C_50|CL_50
C_51|CL_51
C_52|CL_52
C_53|CL_53
C_54|CL_54
C_55|CL_55
C_56|CL_56
C_57|CL_57
C_58|CL_58
C_59|CL_59
C_60|CL_60
C_61|CL_61
C_62|CL_62
C_63|CL_63
C_64|CL_64
C_65|CL_65
C_66|CL_66
C_67|CL_67
C_68|CL_68
C_69|CL_69
C_70|CL_70
C_71|CL_71
C_72|CL_72
C_73|CL_73
C_74|CL_74
C_75|CL_75
C_76|CL_76
C_77|CL_77
C_78|CL_78
C_79|CL_79
C_80|CL_80
C_81|CL_81
C_82|CL_82
C_83|CL_83
C_84|CL_84
C_85|CL_85
C_86|CL_86
C_87|CL_87
C_88|CL_88
C_89|CL_89
C_90|CL_90
C_91|CL_91
C_92|CL_92
C_93|CL_93
C_94|CL_94
C_95|CL_95
C_96|CL_96
C_97|CL_97
C_98|CL_98
C_99|CL_99
C_100|CL_100
C_101|CL_101
C_102|CL_102
C_103|CL_103
C_104|CL_104
C_105|CL_105
C_106|CL_106
C_107|CL_107
C_108|CL_108
C_109|CL_109
C_110|CL_110
C_111|CL_111
C_112|CL_112
C_113|CL_113
C_114|CL_114
C_115|CL_115
C_116|CL_116
C_117|CL_117
C_118|CL_118
C_119|CL_119
C_120|CL_120
C_121|CL_121
C_122|CL_122
C_123|CL_123
C_124|CL_124
C_125|CL_125
C_126|CL_126
C_127|CL_127
C_128|CL_128
C_129|CL_129
C_130|CL_130
C_131|CL_131
C_132|CL_132
C_133|CL_133
C_134|CL_134
C_135|CL_135
C_136|CL_136
C_137|CL_137
C_138|CL_138
C_139|CL_139
C_140|CL_140
C_141|CL_141
C_142|CL_142
C_143|CL_143
C_144|CL_144
C_145|CL_145
C_146|CL_146
C_147|CL_147
C_148|CL_148
C_149|CL_149
C_150|CL_150
C_151|CL_151
C_152|CL_152
C_153|CL_153
C_154|CL_154
C_155|CL_155
C_156|CL_156
C_157|CL_157
C_158|CL_158
C_159|CL_159
C_160|CL_160
C_161|CL_161
C_162|CL_162
C_163|CL_163
C_164|CL_164
C_165|CL_165
C_166|CL_166
C_167|CL_167
C_168|CL_168
C_169|CL_169
C_170|CL_170
C_171|CL_171
C_172|CL_172
C_173|CL_173
C_174|CL_174
C_175|CL_175
