ID|LABEL|POLICY_ID|CLAIMANT_ID|ATTORNEY_ID|AMOUNT|CLAIM_DATE|CAPITAL_GAINS|CAPITAL_LOSS|WITNESSES
D_2.0|claim|Q_0.1|C_4200|X_28|240.97|2021-12-04|312.73|755.16|5
D_2.1|claim|Q_0.1|C_2900|X_23|907.7|2021-04-27|435.29|258.59|1
D_2.2|claim|Q_0.1|C_800|X_46|630.67|2021-04-14|240.58|264.46|4
D_3.0|claim|Q_0.2|C_1900|X_22|924.59|2022-04-21|64.52|337.36|3
D_5.0|claim|Q_0.4|C_3400|X_2|701.93|2021-09-19|703.52|52.07|4
D_5.1|claim|Q_0.4|C_1100|X_21|970.94|2021-04-29|385.17|485.88|1
D_6.0|claim|Q_0.5|C_2400|X_37|706.75|2021-11-22|569.82|131.41|4
D_8.0|claim|Q_0.7|C_800|X_5|158.65|2021-09-24|453.53|377.45|1
D_9.0|claim|Q_0.8|C_4300|X_44|376.14|2021-06-13|369.33|571.68|4
D_9.1|claim|Q_0.8|C_2600|X_40|928.29|2021-04-03|394.52|738.52|4
D_9.2|claim|Q_0.8|C_1100|X_34|870.85|2021-12-30|640.78|563.18|2
D_10.0|claim|Q_0.9|C_200|X_24|384.42|2021-12-13|250.51|647.01|3
D_10.1|claim|Q_0.9|C_1400|X_39|391.39|2022-03-24|832.44|91.82|0
D_10.2|claim|Q_0.9|C_1100|X_32|358.02|2021-05-17|557.36|73.86|0
D_10.3|claim|Q_0.9|C_3800|X_40|541.58|2022-02-13|913.61|868.74|1
D_10.4|claim|Q_0.9|C_4700|X_8|719.34|2021-01-31|19.26|280.59|4
D_11.0|claim|Q_0.10|C_1500|X_38|574.25|2021-02-20|793.88|445.85|4
D_12.0|claim|Q_0.11|C_2900|X_27|695.1|2022-03-16|976.6|226.8|2
D_12.1|claim|Q_0.11|C_2900|X_29|479.63|2021-12-09|19.68|291.43|5
D_12.2|claim|Q_0.11|C_1000|X_6|472.36|2022-02-10|710.08|418.18|4
D_12.3|claim|Q_0.11|C_1100|X_17|813.2|2021-11-24|329.0|264.58|4
