ID|LABEL|PAYMENT_DATE|AMOUNT|CURRENCY
P_0|payment|2021-06-26|619.79|dollar
P_6|payment|2021-08-29|742.27|dollar
P_7|payment|2021-04-09|953.88|dollar
P_8|payment|2021-03-24|148.38|dollar
P_9|payment|2021-11-23|928.6|dollar
P_10|payment|2021-08-19|844.07|dollar
P_12|payment|2022-04-10|443.23|dollar
P_13|payment|2021-07-12|843.54|dollar
P_14|payment|2022-01-21|729.67|dollar
P_15|payment|2022-02-20|366.67|dollar
P_20|payment|2021-12-13|431.12|dollar
P_21|payment|2021-09-05|957.67|dollar
P_23|payment|2022-02-28|972.2|dollar
P_24|payment|2021-06-14|828.93|dollar
P_25|payment|2021-02-04|120.07|dollar
P_26|payment|2022-01-10|853.24|dollar
P_29|payment|2021-01-08|676.52|dollar
P_31|payment|2021-01-17|815.51|dollar
P_33|payment|2021-07-22|612.12|dollar
P_34|payment|2021-03-12|444.69|dollar
P_35|payment|2022-04-20|231.81|dollar
P_36|payment|2021-05-27|201.57|dollar
P_38|payment|2022-02-10|419.12|dollar
P_39|payment|2021-02-26|439.74|dollar
P_40|payment|2021-10-20|5.1|dollar
P_41|payment|2021-04-15|444.06|dollar
P_45|payment|2021-02-20|251.54|dollar
P_46|payment|2021-12-09|427.67|dollar
P_48|payment|2022-01-29|256.58|dollar
P_49|payment|2021-06-16|809.87|dollar
P_50|payment|2021-10-26|761.67|dollar
P_51|payment|2021-12-25|55.07|dollar
P_52|payment|2021-09-18|906.43|dollar
P_57|payment|2021-02-21|14.16|dollar
P_59|payment|2021-10-06|141.83|dollar
P_60|payment|2021-05-06|976.06|dollar
P_63|payment|2021-06-15|524.44|dollar
P_67|payment|2021-09-26|920.42|dollar
P_68|payment|2021-09-27|427.04|dollar
P_69|payment|2021-03-15|965.86|dollar
P_70|payment|2021-10-21|112.99|dollar
P_72|payment|2021-10-05|578.38|dollar
P_75|payment|2021-06-08|94.68|dollar
P_80|payment|2022-01-05|687.01|dollar
P_81|payment|2021-06-22|650.4|dollar
