r.end.id|r.end.labels|r.internal_id|r.label|r.ROLES|r.TYPE|r.start.id|r.start.labels|r.type
46|['Movie']|0|ACTEDIN|"[""Neo""]"|ACTED_IN|0|['Person']|edge
52|['Movie']|16|ACTEDIN|"[""Shane Falco""]"|ACTED_IN|0|['Person']|edge
55|['Movie']|18|ACTEDIN|"[""Johnny Mnemonic""]"|ACTED_IN|0|['Person']|edge
59|['Movie']|30|ACTEDIN|"[""Julian Mercer""]"|ACTED_IN|0|['Person']|edge
562949953421360|['Movie']|55|ACTEDIN|"[""Kevin Lomax""]"|ACTED_IN|0|['Person']|edge
562949953421359|['Movie']|96|ACTEDIN|"[""Neo""]"|ACTED_IN|0|['Person']|edge
562949953421358|['Movie']|101|ACTEDIN|"[""Neo""]"|ACTED_IN|0|['Person']|edge
46|['Movie']|1|ACTEDIN|"[""Trinity""]"|ACTED_IN|1|['Person']|edge
562949953421359|['Movie']|97|ACTEDIN|"[""Trinity""]"|ACTED_IN|1|['Person']|edge
562949953421358|['Movie']|102|ACTEDIN|"[""Trinity""]"|ACTED_IN|1|['Person']|edge
46|['Movie']|2|ACTEDIN|"[""Morpheus""]"|ACTED_IN|2|['Person']|edge
562949953421359|['Movie']|98|ACTEDIN|"[""Morpheus""]"|ACTED_IN|2|['Person']|edge
562949953421358|['Movie']|103|ACTEDIN|"[""Morpheus""]"|ACTED_IN|2|['Person']|edge
47|['Movie']|5|ACTEDIN|"[""Jerry Maguire""]"|ACTED_IN|5|['Person']|edge
281474976710697|['Movie']|53|ACTEDIN|"[""Maverick""]"|ACTED_IN|5|['Person']|edge
562949953421361|['Movie']|67|ACTEDIN|"[""Lt. Daniel Kaffee""]"|ACTED_IN|5|['Person']|edge
59|['Movie']|31|ACTEDIN|"[""Harry Sanborn""]"|ACTED_IN|6|['Person']|edge
281474976710707|['Movie']|43|ACTEDIN|"[""Randle McMurphy""]"|ACTED_IN|6|['Person']|edge
562949953421365|['Movie']|45|ACTEDIN|"[""Hoffa""]"|ACTED_IN|6|['Person']|edge
281474976710699|['Movie']|49|ACTEDIN|"[""Melvin Udall""]"|ACTED_IN|6|['Person']|edge
562949953421361|['Movie']|68|ACTEDIN|"[""Col. Nathan R. Jessup""]"|ACTED_IN|6|['Person']|edge
562949953421361|['Movie']|69|ACTEDIN|"[""Lt. Cdr. JoAnne Galloway""]"|ACTED_IN|7|['Person']|edge
281474976710698|['Movie']|50|ACTEDIN|"[""Ace Merrill""]"|ACTED_IN|8|['Person']|edge
562949953421361|['Movie']|70|ACTEDIN|"[""Lt. Jonathan Kendrick""]"|ACTED_IN|8|['Person']|edge
562949953421361|['Movie']|71|ACTEDIN|"[""Cpl. Jeffrey Barnes""]"|ACTED_IN|9|['Person']|edge
562949953421361|['Movie']|72|ACTEDIN|"[""Dr. Stone""]"|ACTED_IN|10|['Person']|edge
562949953421361|['Movie']|73|ACTEDIN|"[""Man in Bar""]"|ACTED_IN|11|['Person']|edge
281474976710697|['Movie']|54|ACTEDIN|"[""Viper""]"|ACTED_IN|12|['Person']|edge
47|['Movie']|6|ACTEDIN|"[""Avery Bishop""]"|ACTED_IN|13|['Person']|edge
47|['Movie']|7|ACTEDIN|"[""Frank Cushman""]"|ACTED_IN|14|['Person']|edge
281474976710698|['Movie']|51|ACTEDIN|"[""Vern Tessio""]"|ACTED_IN|14|['Person']|edge
47|['Movie']|8|ACTEDIN|"[""Marcee Tidwell""]"|ACTED_IN|15|['Person']|edge
47|['Movie']|9|ACTEDIN|"[""Ray Boyd""]"|ACTED_IN|16|['Person']|edge
281474976710702|['Movie']|46|ACTEDIN|"[""Admiral""]"|ACTED_IN|17|['Person']|edge
281474976710698|['Movie']|52|ACTEDIN|"[""Mr. Lachance""]"|ACTED_IN|17|['Person']|edge
281474976710700|['Movie']|47|ACTEDIN|"[""Ishmael Chambers""]"|ACTED_IN|18|['Person']|edge
57|['Movie']|26|ACTEDIN|"[""Warden Hal Moores""]"|ACTED_IN|19|['Person']|edge
281474976710700|['Movie']|48|ACTEDIN|"[""Judge Fielding""]"|ACTED_IN|19|['Person']|edge
49|['Movie']|10|ACTEDIN|"[""Joe Fox""]"|ACTED_IN|20|['Person']|edge
50|['Movie']|12|ACTEDIN|"[""Sam Baldwin""]"|ACTED_IN|20|['Person']|edge
51|['Movie']|14|ACTEDIN|"[""Mr. White""]"|ACTED_IN|20|['Person']|edge
56|['Movie']|20|ACTEDIN|"[""Zachry"",""Dr. Henry Goose"",""Isaac Sachs"",""Dermot Hoggins""]"|ACTED_IN|20|['Person']|edge
57|['Movie']|27|ACTEDIN|"[""Paul Edgecomb""]"|ACTED_IN|20|['Person']|edge
60|['Movie']|36|ACTEDIN|"[""Rep. Charlie Wilson""]"|ACTED_IN|20|['Person']|edge
61|['Movie']|38|ACTEDIN|"[""Hero Boy"",""Father"",""Conductor"",""Hobo"",""Scrooge"",""Santa Claus""]"|ACTED_IN|20|['Person']|edge
562949953421368|['Movie']|39|ACTEDIN|"[""Jimmy Dugan""]"|ACTED_IN|20|['Person']|edge
281474976710706|['Movie']|44|ACTEDIN|"[""Chuck Noland""]"|ACTED_IN|20|['Person']|edge
281474976710705|['Movie']|79|ACTEDIN|"[""Jim Lovell""]"|ACTED_IN|20|['Person']|edge
281474976710703|['Movie']|89|ACTEDIN|"[""Dr. Robert Langdon""]"|ACTED_IN|20|['Person']|edge
281474976710701|['Movie']|94|ACTEDIN|"[""Joe Banks""]"|ACTED_IN|20|['Person']|edge
562949953421362|['Movie']|64|ACTEDIN|"[""Jess""]"|ACTED_IN|23|['Person']|edge
55|['Movie']|19|ACTEDIN|"[""Takahashi""]"|ACTED_IN|24|['Person']|edge
281474976710703|['Movie']|90|ACTEDIN|"[""Sophie Neveu""]"|ACTED_IN|28|['Person']|edge
281474976710703|['Movie']|91|ACTEDIN|"[""Silas""]"|ACTED_IN|29|['Person']|edge
562949953421363|['Movie']|58|ACTEDIN|"[""Evey Hammond""]"|ACTED_IN|31|['Person']|edge
562949953421363|['Movie']|59|ACTEDIN|"[""Eric Finch""]"|ACTED_IN|32|['Person']|edge
562949953421364|['Movie']|83|ACTEDIN|"[""Mom""]"|ACTED_IN|33|['Person']|edge
562949953421364|['Movie']|84|ACTEDIN|"[""Racer X""]"|ACTED_IN|34|['Person']|edge
57|['Movie']|28|ACTEDIN|"[""Burt Hammersmith""]"|ACTED_IN|35|['Person']|edge
