r.end.id|r.end.labels|r.internal_id|r.label|r.TYPE|r.start.id|r.start.labels|r.type
51|['Movie']|15|DIRECTED|DIRECTED|20|['Person']|edge
49|['Movie']|11|DIRECTED|DIRECTED|21|['Person']|edge
50|['Movie']|13|DIRECTED|DIRECTED|21|['Person']|edge
281474976710701|['Movie']|95|DIRECTED|DIRECTED|22|['Person']|edge
56|['Movie']|23|DIRECTED|DIRECTED|25|['Person']|edge
58|['Movie']|29|DIRECTED|DIRECTED|30|['Person']|edge
281474976710705|['Movie']|82|DIRECTED|DIRECTED|30|['Person']|edge
281474976710703|['Movie']|92|DIRECTED|DIRECTED|30|['Person']|edge
46|['Movie']|3|DIRECTED|DIRECTED|3|['Person']|edge
56|['Movie']|21|DIRECTED|DIRECTED|3|['Person']|edge
562949953421364|['Movie']|85|DIRECTED|DIRECTED|3|['Person']|edge
562949953421359|['Movie']|99|DIRECTED|DIRECTED|3|['Person']|edge
562949953421358|['Movie']|104|DIRECTED|DIRECTED|3|['Person']|edge
46|['Movie']|4|DIRECTED|DIRECTED|4|['Person']|edge
56|['Movie']|22|DIRECTED|DIRECTED|4|['Person']|edge
562949953421364|['Movie']|86|DIRECTED|DIRECTED|4|['Person']|edge
562949953421359|['Movie']|100|DIRECTED|DIRECTED|4|['Person']|edge
562949953421358|['Movie']|105|DIRECTED|DIRECTED|4|['Person']|edge
562949953421366|['Movie']|78|DIRECTED|DIRECTED|38|['Person']|edge
59|['Movie']|33|DIRECTED|DIRECTED|40|['Person']|edge
562949953421367|['Movie']|75|DIRECTED|DIRECTED|41|['Person']|edge
281474976710704|['Movie']|281474976710666|DIRECTED|DIRECTED|281474976710661|['Person']|edge
562949953421363|['Movie']|281474976710690|DIRECTED|DIRECTED|281474976710661|['Person']|edge
281474976710697|['Movie']|281474976710659|DIRECTED|DIRECTED|281474976710665|['Person']|edge
47|['Movie']|281474976710704|DIRECTED|DIRECTED|281474976710669|['Person']|edge
281474976710699|['Movie']|281474976710664|DIRECTED|DIRECTED|281474976710672|['Person']|edge
281474976710700|['Movie']|281474976710665|DIRECTED|DIRECTED|281474976710674|['Person']|edge
60|['Movie']|281474976710685|DIRECTED|DIRECTED|281474976710680|['Person']|edge
53|['Movie']|281474976710693|DIRECTED|DIRECTED|281474976710680|['Person']|edge
55|['Movie']|281474976710692|DIRECTED|DIRECTED|281474976710683|['Person']|edge
57|['Movie']|281474976710688|DIRECTED|DIRECTED|281474976710688|['Person']|edge
281474976710706|['Movie']|281474976710668|DIRECTED|DIRECTED|281474976710692|['Person']|edge
61|['Movie']|281474976710683|DIRECTED|DIRECTED|281474976710692|['Person']|edge
562949953421368|['Movie']|281474976710682|DIRECTED|DIRECTED|281474976710695|['Person']|edge
54|['Movie']|562949953421387|DIRECTED|DIRECTED|562949953421341|['Person']|edge
562949953421365|['Movie']|562949953421330|DIRECTED|DIRECTED|562949953421354|['Person']|edge
562949953421360|['Movie']|562949953421316|DIRECTED|DIRECTED|562949953421315|['Person']|edge
562949953421361|['Movie']|562949953421318|DIRECTED|DIRECTED|562949953421317|['Person']|edge
562949953421362|['Movie']|562949953421320|DIRECTED|DIRECTED|562949953421317|['Person']|edge
281474976710698|['Movie']|562949953421360|DIRECTED|DIRECTED|562949953421317|['Person']|edge
281474976710702|['Movie']|562949953421396|DIRECTED|DIRECTED|562949953421325|['Person']|edge
48|['Movie']|562949953421355|DIRECTED|DIRECTED|562949953421327|['Person']|edge
52|['Movie']|562949953421337|DIRECTED|DIRECTED|562949953421338|['Person']|edge
281474976710707|['Movie']|562949953421365|DIRECTED|DIRECTED|562949953421356|['Person']|edge
