start_id|end_id|TYPE
PV-4000|MS-22|IS_OF_SPECIALTY
PV-4001|MS-5|IS_OF_SPECIALTY
PV-4002|MS-5|IS_OF_SPECIALTY
PV-4003|MS-26|IS_OF_SPECIALTY
PV-4004|MS-26|IS_OF_SPECIALTY
PV-4005|MS-5|IS_OF_SPECIALTY
PV-4006|MS-5|IS_OF_SPECIALTY
PV-4007|MS-26|IS_OF_SPECIALTY
PV-4008|MS-5|IS_OF_SPECIALTY
PV-4009|MS-26|IS_OF_SPECIALTY
PV-4010|MS-5|IS_OF_SPECIALTY
PV-4011|MS-26|IS_OF_SPECIALTY
PV-4012|MS-21|IS_OF_SPECIALTY
PV-4013|MS-5|IS_OF_SPECIALTY
PV-4014|MS-8|IS_OF_SPECIALTY
PV-4015|MS-5|IS_OF_SPECIALTY
PV-4016|MS-26|IS_OF_SPECIALTY
PV-4017|MS-5|IS_OF_SPECIALTY
PV-4018|MS-4|IS_OF_SPECIALTY
PV-4019|MS-29|IS_OF_SPECIALTY
PV-4020|MS-4|IS_OF_SPECIALTY
PV-4021|MS-5|IS_OF_SPECIALTY
PV-4022|MS-4|IS_OF_SPECIALTY
PV-4023|MS-4|IS_OF_SPECIALTY
PV-4024|MS-4|IS_OF_SPECIALTY
PV-4025|MS-4|IS_OF_SPECIALTY
PV-4026|MS-4|IS_OF_SPECIALTY
PV-4027|MS-4|IS_OF_SPECIALTY
PV-4028|MS-4|IS_OF_SPECIALTY
PV-4029|MS-4|IS_OF_SPECIALTY
PV-4030|MS-4|IS_OF_SPECIALTY
PV-4031|MS-4|IS_OF_SPECIALTY
PV-4032|MS-4|IS_OF_SPECIALTY
PV-4033|MS-4|IS_OF_SPECIALTY
PV-4034|MS-4|IS_OF_SPECIALTY
PV-4035|MS-4|IS_OF_SPECIALTY
PV-4036|MS-4|IS_OF_SPECIALTY
PV-4037|MS-4|IS_OF_SPECIALTY
PV-4038|MS-4|IS_OF_SPECIALTY
PV-4039|MS-4|IS_OF_SPECIALTY
PV-4040|MS-4|IS_OF_SPECIALTY
PV-4041|MS-4|IS_OF_SPECIALTY
PV-4042|MS-4|IS_OF_SPECIALTY
PV-4043|MS-4|IS_OF_SPECIALTY
PV-4044|MS-4|IS_OF_SPECIALTY
PV-4045|MS-4|IS_OF_SPECIALTY
PV-4046|MS-4|IS_OF_SPECIALTY
PV-4047|MS-4|IS_OF_SPECIALTY
PV-4048|MS-4|IS_OF_SPECIALTY
PV-4049|MS-4|IS_OF_SPECIALTY
PV-4050|MS-4|IS_OF_SPECIALTY
PV-4051|MS-4|IS_OF_SPECIALTY
PV-4052|MS-4|IS_OF_SPECIALTY
PV-4053|MS-4|IS_OF_SPECIALTY
PV-4054|MS-4|IS_OF_SPECIALTY
PV-4055|MS-4|IS_OF_SPECIALTY
PV-4056|MS-4|IS_OF_SPECIALTY
PV-4057|MS-4|IS_OF_SPECIALTY
PV-4058|MS-4|IS_OF_SPECIALTY
PV-4059|MS-4|IS_OF_SPECIALTY
PV-4060|MS-4|IS_OF_SPECIALTY
PV-4061|MS-4|IS_OF_SPECIALTY
PV-4062|MS-4|IS_OF_SPECIALTY
PV-4063|MS-4|IS_OF_SPECIALTY
PV-4064|MS-4|IS_OF_SPECIALTY
