start_id|end_id|TYPE
MS-39|PV-4000|IS_OF_SPECIALTY
MS-31|PV-4001|IS_OF_SPECIALTY
MS-31|PV-4002|IS_OF_SPECIALTY
MS-11|PV-4003|IS_OF_SPECIALTY
MS-11|PV-4004|IS_OF_SPECIALTY
MS-31|PV-4005|IS_OF_SPECIALTY
MS-31|PV-4006|IS_OF_SPECIALTY
MS-11|PV-4007|IS_OF_SPECIALTY
MS-31|PV-4008|IS_OF_SPECIALTY
MS-11|PV-4009|IS_OF_SPECIALTY
MS-31|PV-4010|IS_OF_SPECIALTY
MS-11|PV-4011|IS_OF_SPECIALTY
MS-10|PV-4012|IS_OF_SPECIALTY
MS-31|PV-4013|IS_OF_SPECIALTY
MS-16|PV-4014|IS_OF_SPECIALTY
MS-31|PV-4015|IS_OF_SPECIALTY
MS-11|PV-4016|IS_OF_SPECIALTY
MS-31|PV-4017|IS_OF_SPECIALTY
MS-27|PV-4018|IS_OF_SPECIALTY
MS-3|PV-4019|IS_OF_SPECIALTY
MS-27|PV-4020|IS_OF_SPECIALTY
MS-31|PV-4021|IS_OF_SPECIALTY
MS-27|PV-4022|IS_OF_SPECIALTY
MS-27|PV-4023|IS_OF_SPECIALTY
MS-27|PV-4024|IS_OF_SPECIALTY
MS-27|PV-4025|IS_OF_SPECIALTY
MS-27|PV-4026|IS_OF_SPECIALTY
MS-27|PV-4027|IS_OF_SPECIALTY
MS-27|PV-4028|IS_OF_SPECIALTY
MS-27|PV-4029|IS_OF_SPECIALTY
MS-27|PV-4030|IS_OF_SPECIALTY
MS-27|PV-4031|IS_OF_SPECIALTY
MS-27|PV-4032|IS_OF_SPECIALTY
MS-27|PV-4033|IS_OF_SPECIALTY
MS-27|PV-4034|IS_OF_SPECIALTY
MS-27|PV-4035|IS_OF_SPECIALTY
MS-27|PV-4036|IS_OF_SPECIALTY
MS-27|PV-4037|IS_OF_SPECIALTY
MS-27|PV-4038|IS_OF_SPECIALTY
MS-27|PV-4039|IS_OF_SPECIALTY
MS-27|PV-4040|IS_OF_SPECIALTY
MS-27|PV-4041|IS_OF_SPECIALTY
MS-27|PV-4042|IS_OF_SPECIALTY
MS-27|PV-4043|IS_OF_SPECIALTY
MS-27|PV-4044|IS_OF_SPECIALTY
MS-27|PV-4045|IS_OF_SPECIALTY
MS-27|PV-4046|IS_OF_SPECIALTY
MS-27|PV-4047|IS_OF_SPECIALTY
MS-27|PV-4048|IS_OF_SPECIALTY
MS-27|PV-4049|IS_OF_SPECIALTY
MS-27|PV-4050|IS_OF_SPECIALTY
MS-27|PV-4051|IS_OF_SPECIALTY
MS-27|PV-4052|IS_OF_SPECIALTY
MS-27|PV-4053|IS_OF_SPECIALTY
MS-27|PV-4054|IS_OF_SPECIALTY
MS-27|PV-4055|IS_OF_SPECIALTY
MS-27|PV-4056|IS_OF_SPECIALTY
MS-27|PV-4057|IS_OF_SPECIALTY
MS-27|PV-4058|IS_OF_SPECIALTY
MS-27|PV-4059|IS_OF_SPECIALTY
MS-27|PV-4060|IS_OF_SPECIALTY
MS-27|PV-4061|IS_OF_SPECIALTY
MS-27|PV-4062|IS_OF_SPECIALTY
MS-27|PV-4063|IS_OF_SPECIALTY
MS-27|PV-4064|IS_OF_SPECIALTY
MS-27|PV-4065|IS_OF_SPECIALTY
MS-27|PV-4066|IS_OF_SPECIALTY
MS-27|PV-4067|IS_OF_SPECIALTY
MS-27|PV-4068|IS_OF_SPECIALTY
MS-27|PV-4069|IS_OF_SPECIALTY
MS-27|PV-4070|IS_OF_SPECIALTY
MS-27|PV-4071|IS_OF_SPECIALTY
MS-27|PV-4072|IS_OF_SPECIALTY
MS-27|PV-4073|IS_OF_SPECIALTY
MS-27|PV-4074|IS_OF_SPECIALTY
MS-27|PV-4075|IS_OF_SPECIALTY
MS-27|PV-4076|IS_OF_SPECIALTY
MS-27|PV-4077|IS_OF_SPECIALTY
MS-27|PV-4078|IS_OF_SPECIALTY
MS-27|PV-4079|IS_OF_SPECIALTY
MS-27|PV-4080|IS_OF_SPECIALTY
MS-27|PV-4081|IS_OF_SPECIALTY
MS-27|PV-4082|IS_OF_SPECIALTY
MS-27|PV-4083|IS_OF_SPECIALTY
MS-27|PV-4084|IS_OF_SPECIALTY
MS-27|PV-4085|IS_OF_SPECIALTY
MS-27|PV-4086|IS_OF_SPECIALTY
MS-27|PV-4087|IS_OF_SPECIALTY
MS-27|PV-4088|IS_OF_SPECIALTY
MS-27|PV-4089|IS_OF_SPECIALTY
MS-27|PV-4090|IS_OF_SPECIALTY
MS-27|PV-4091|IS_OF_SPECIALTY
MS-27|PV-4092|IS_OF_SPECIALTY
MS-27|PV-4093|IS_OF_SPECIALTY
MS-27|PV-4094|IS_OF_SPECIALTY
MS-27|PV-4095|IS_OF_SPECIALTY
MS-27|PV-4096|IS_OF_SPECIALTY
MS-27|PV-4097|IS_OF_SPECIALTY
MS-27|PV-4098|IS_OF_SPECIALTY
MS-27|PV-4099|IS_OF_SPECIALTY
MS-27|PV-4100|IS_OF_SPECIALTY
MS-27|PV-4101|IS_OF_SPECIALTY
MS-27|PV-4102|IS_OF_SPECIALTY
MS-27|PV-4103|IS_OF_SPECIALTY
MS-27|PV-4104|IS_OF_SPECIALTY
MS-27|PV-4105|IS_OF_SPECIALTY
MS-27|PV-4106|IS_OF_SPECIALTY
MS-27|PV-4107|IS_OF_SPECIALTY
MS-27|PV-4108|IS_OF_SPECIALTY
MS-27|PV-4109|IS_OF_SPECIALTY
MS-27|PV-4110|IS_OF_SPECIALTY
MS-27|PV-4111|IS_OF_SPECIALTY
MS-27|PV-4112|IS_OF_SPECIALTY
MS-27|PV-4113|IS_OF_SPECIALTY
MS-27|PV-4114|IS_OF_SPECIALTY
MS-27|PV-4115|IS_OF_SPECIALTY
MS-27|PV-4116|IS_OF_SPECIALTY
MS-27|PV-4117|IS_OF_SPECIALTY
MS-27|PV-4118|IS_OF_SPECIALTY
MS-27|PV-4119|IS_OF_SPECIALTY
MS-27|PV-4120|IS_OF_SPECIALTY
MS-27|PV-4121|IS_OF_SPECIALTY
MS-27|PV-4122|IS_OF_SPECIALTY
MS-27|PV-4123|IS_OF_SPECIALTY
MS-27|PV-4124|IS_OF_SPECIALTY
MS-27|PV-4125|IS_OF_SPECIALTY
MS-27|PV-4126|IS_OF_SPECIALTY
MS-27|PV-4127|IS_OF_SPECIALTY
MS-27|PV-4128|IS_OF_SPECIALTY
MS-27|PV-4129|IS_OF_SPECIALTY
MS-27|PV-4130|IS_OF_SPECIALTY
MS-27|PV-4131|IS_OF_SPECIALTY
MS-27|PV-4132|IS_OF_SPECIALTY
MS-27|PV-4133|IS_OF_SPECIALTY
MS-27|PV-4134|IS_OF_SPECIALTY
MS-27|PV-4135|IS_OF_SPECIALTY
MS-27|PV-4136|IS_OF_SPECIALTY
MS-27|PV-4137|IS_OF_SPECIALTY
MS-27|PV-4138|IS_OF_SPECIALTY
MS-27|PV-4139|IS_OF_SPECIALTY
MS-27|PV-4140|IS_OF_SPECIALTY
MS-27|PV-4141|IS_OF_SPECIALTY
