start_id|end_id|TYPE
UMLS/C0036609|FMA/54709|ALSO_CODED_AS
UMLS/C0036609|FMA/54721|ALSO_CODED_AS
UMLS/C0036609|LNC/LP199945-9|ALSO_CODED_AS
UMLS/C0036609|LNC/LP36094-8|ALSO_CODED_AS
UMLS/C0036609|LNC/MTHU054285|ALSO_CODED_AS
UMLS/C0036609|MSH/D012658|ALSO_CODED_AS
UMLS/C0036609|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0036609|NCI/C12497|ALSO_CODED_AS
UMLS/C0746408|LNC/LA17213-2|ALSO_CODED_AS
UMLS/C0001074|FMA/51061|ALSO_CODED_AS
UMLS/C0001074|LNC/LP30507-5|ALSO_CODED_AS
UMLS/C0001074|LNC/MTHU014777|ALSO_CODED_AS
UMLS/C0001074|MSH/D000125|ALSO_CODED_AS
UMLS/C0001074|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0001074|NCI/C32043|ALSO_CODED_AS
UMLS/C0002913|MSH/D000767|ALSO_CODED_AS
UMLS/C0002913|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0002913|NCI/C15642|ALSO_CODED_AS
UMLS/C0002928|MSH/D000775|ALSO_CODED_AS
UMLS/C0002928|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0002928|NCI/C92887|ALSO_CODED_AS
UMLS/C0003550|HPO/HP:0002427|ALSO_CODED_AS
UMLS/C0003550|MSH/D001039|ALSO_CODED_AS
UMLS/C0003550|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0003550|NCI/C34394|ALSO_CODED_AS
UMLS/C0003550|OMIM/MTHU008009|ALSO_CODED_AS
UMLS/C0003550|OMIM/MTHU022215|ALSO_CODED_AS
UMLS/C0003968|LNC/LP31695-7|ALSO_CODED_AS
UMLS/C0003968|MEDLINEPLUS/5380|ALSO_CODED_AS
UMLS/C0003968|MSH/D001205|ALSO_CODED_AS
UMLS/C0003968|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0003968|NCI/C285|ALSO_CODED_AS
UMLS/C0003968|RXNORM/1151|ALSO_CODED_AS
UMLS/C0003968|VANDF/4017471|ALSO_CODED_AS
UMLS/C0003968|VANDF/4017646|ALSO_CODED_AS
UMLS/C0004093|HPO/HP:0025406|ALSO_CODED_AS
UMLS/C0004093|MSH/D001247|ALSO_CODED_AS
UMLS/C0004093|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0004093|NCI/C28132|ALSO_CODED_AS
UMLS/C0004093|OMIM/MTHU059936|ALSO_CODED_AS
UMLS/C0004134|HPO/HP:0010867|ALSO_CODED_AS
UMLS/C0004134|LNC/LA24636-5|ALSO_CODED_AS
UMLS/C0004134|MSH/D001259|ALSO_CODED_AS
UMLS/C0004134|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0004134|NCI/C26702|ALSO_CODED_AS
UMLS/C0004134|OMIM/MTHU036349|ALSO_CODED_AS
UMLS/C0004134|OMIM/MTHU068459|ALSO_CODED_AS
UMLS/C0004781|FMA/321900|ALSO_CODED_AS
UMLS/C0004781|FMA/84013|ALSO_CODED_AS
UMLS/C0004781|MSH/D001479|ALSO_CODED_AS
UMLS/C0004781|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0004781|NCI/C12447|ALSO_CODED_AS
UMLS/C0005790|LNC/LP19284-6|ALSO_CODED_AS
UMLS/C0005790|LNC/LP6186-3|ALSO_CODED_AS
UMLS/C0005790|LNC/LP73955-4|ALSO_CODED_AS
UMLS/C0005790|LNC/LP7788-5|ALSO_CODED_AS
UMLS/C0005790|LNC/MTHU000051|ALSO_CODED_AS
UMLS/C0005790|LNC/MTHU008050|ALSO_CODED_AS
UMLS/C0005790|LNC/MTHU008375|ALSO_CODED_AS
UMLS/C0005790|MSH/D001780|ALSO_CODED_AS
UMLS/C0005790|MTH/NOCODE|ALSO_CODED_AS
UMLS/C0005790|NCI/C62662|ALSO_CODED_AS
UMLS/C0006104|FMA/50801|ALSO_CODED_AS
UMLS/C0006104|LNC/LA32232-3|ALSO_CODED_AS
UMLS/C0006104|LNC/LA4254-4|ALSO_CODED_AS
UMLS/C0006104|LNC/LP206702-5|ALSO_CODED_AS
UMLS/C0006104|LNC/LP7084-9|ALSO_CODED_AS
UMLS/C0006104|LNC/MTHU002079|ALSO_CODED_AS
UMLS/C0006104|MSH/D001921|ALSO_CODED_AS
UMLS/C0006104|MTH/U001761|ALSO_CODED_AS
UMLS/C0006104|NCI/C12439|ALSO_CODED_AS
UMLS/C0006121|FMA/79876|ALSO_CODED_AS
UMLS/C0006121|LNC/LP207337-9|ALSO_CODED_AS
UMLS/C0006121|MSH/D001933|ALSO_CODED_AS
UMLS/C0006121|MTH/U001762|ALSO_CODED_AS
UMLS/C0006121|NCI/C12441|ALSO_CODED_AS
UMLS/C0007286|HPO/HP:0012185|ALSO_CODED_AS
