start_id|end_id|TYPE
FMA/54709|UMLS/C0036609|ALSO_CODED_AS
FMA/54721|UMLS/C0036609|ALSO_CODED_AS
LNC/LP199945-9|UMLS/C0036609|ALSO_CODED_AS
LNC/LP36094-8|UMLS/C0036609|ALSO_CODED_AS
LNC/MTHU054285|UMLS/C0036609|ALSO_CODED_AS
MSH/D012658|UMLS/C0036609|ALSO_CODED_AS
MTH/NOCODE|UMLS/C0036609|ALSO_CODED_AS
NCI/C12497|UMLS/C0036609|ALSO_CODED_AS
LNC/LA17213-2|UMLS/C0746408|ALSO_CODED_AS
FMA/51061|UMLS/C0001074|ALSO_CODED_AS
LNC/LP30507-5|UMLS/C0001074|ALSO_CODED_AS
LNC/MTHU014777|UMLS/C0001074|ALSO_CODED_AS
MSH/D000125|UMLS/C0001074|ALSO_CODED_AS
MTH/NOCODE|UMLS/C0001074|ALSO_CODED_AS
NCI/C32043|UMLS/C0001074|ALSO_CODED_AS
MSH/D000767|UMLS/C0002913|ALSO_CODED_AS
MTH/NOCODE|UMLS/C0002913|ALSO_CODED_AS
NCI/C15642|UMLS/C0002913|ALSO_CODED_AS
MSH/D000775|UMLS/C0002928|ALSO_CODED_AS
MTH/NOCODE|UMLS/C0002928|ALSO_CODED_AS
NCI/C92887|UMLS/C0002928|ALSO_CODED_AS
HPO/HP:0002427|UMLS/C0003550|ALSO_CODED_AS
MSH/D001039|UMLS/C0003550|ALSO_CODED_AS
MTH/NOCODE|UMLS/C0003550|ALSO_CODED_AS
NCI/C34394|UMLS/C0003550|ALSO_CODED_AS
OMIM/MTHU008009|UMLS/C0003550|ALSO_CODED_AS
OMIM/MTHU022215|UMLS/C0003550|ALSO_CODED_AS
LNC/LP31695-7|UMLS/C0003968|ALSO_CODED_AS
MEDLINEPLUS/5380|UMLS/C0003968|ALSO_CODED_AS
MSH/D001205|UMLS/C0003968|ALSO_CODED_AS
MTH/NOCODE|UMLS/C0003968|ALSO_CODED_AS
NCI/C285|UMLS/C0003968|ALSO_CODED_AS
RXNORM/1151|UMLS/C0003968|ALSO_CODED_AS
VANDF/4017471|UMLS/C0003968|ALSO_CODED_AS
