id|keyword|LABEL
KW-1| heart tones|Keyword
KW-2| mastopexy|Keyword
KW-3| temporal lobes|Keyword
KW-4| heart attacks|Keyword
KW-5| digital laceration|Keyword
KW-6| classic findings|Keyword
KW-7| shunt malfunction|Keyword
KW-8| premature ventricular|Keyword
KW-9| foot talus|Keyword
KW-10| carter-thomason|Keyword
KW-11| iodine-131|Keyword
KW-12| recovery room in good condition|Keyword
KW-13| hemorrhoids|Keyword
KW-14| ophthalmic plastic reconstructive surgery|Keyword
KW-15| femoral artery|Keyword
KW-16| developed|Keyword
KW-17| penile block|Keyword
KW-18| bankart|Keyword
KW-19| medial branch nerves|Keyword
KW-20| salpingooophorectomy|Keyword
KW-21| midportion|Keyword
KW-22| sheath|Keyword
KW-23| cholecystitis|Keyword
KW-24| globus|Keyword
KW-25| borderline central canal|Keyword
KW-26| lyme disease|Keyword
KW-27| rue clumsiness|Keyword
KW-28| rest and stress|Keyword
KW-29| gubernacular attachments|Keyword
KW-30| gastrojejunal anastomosis|Keyword
KW-31| mac|Keyword
KW-32| junction gastric|Keyword
KW-33| afferent|Keyword
KW-34| down’s syndrome|Keyword
KW-35| flexion crease|Keyword
KW-36| blood sugars|Keyword
KW-37| urinary frequency|Keyword
KW-38| aspiration|Keyword
KW-39| strips|Keyword
KW-40| irregular bowel habits|Keyword
KW-41| achilles|Keyword
KW-42| osteochondroma|Keyword
KW-43| sinus rhythm|Keyword
KW-44| gated spect protocol|Keyword
KW-45| breast asymmetry|Keyword
KW-46| ankle brachial|Keyword
KW-47| ct facial|Keyword
KW-48| lipoma |Keyword
KW-49| dental disease|Keyword
KW-50| flap relocation|Keyword
KW-51| orbital roof|Keyword
KW-52| airway obstruction|Keyword
KW-53| proximal right coronary|Keyword
KW-54| loose cartilage|Keyword
KW-55| myoclonic|Keyword
KW-56| ethmoid|Keyword
KW-57| hcts|Keyword
KW-58| headaches|Keyword
KW-59| pds suture|Keyword
KW-60| sinoatrial exit block|Keyword
KW-61| right upper lid|Keyword
KW-62| ace inhibitors|Keyword
KW-63| achilles tendon rupture|Keyword
KW-64| barrett|Keyword
KW-65| atelectasis|Keyword
KW-66| electric bovie|Keyword
KW-67| bilateral mammary hypertrophy|Keyword
KW-68| renal stone protocol|Keyword
KW-69| mcivor mouth gag|Keyword
KW-70| within normal limits|Keyword
KW-71| excellent hemostasis|Keyword
KW-72| tetrofosmin|Keyword
KW-73| descending artery territory|Keyword
KW-74| lower pole defect|Keyword
KW-75| aortic dissection|Keyword
KW-76| temporal region|Keyword
KW-77| drowsy stage|Keyword
KW-78| brow ptosis|Keyword
KW-79| rhinoplasty|Keyword
KW-80| nitrazine pull and fern|Keyword
KW-81| mycotic nails|Keyword
KW-82| tympanomeatal|Keyword
KW-83| triple lumen|Keyword
KW-84| navicular bone|Keyword
KW-85| photophobia|Keyword
KW-86| pedicles|Keyword
KW-87| refills|Keyword
KW-88| diverticula|Keyword
KW-89| fibromyositis|Keyword
KW-90| ureters|Keyword
KW-91| fat injection|Keyword
KW-92| confusion|Keyword
KW-93| ureteral orifices|Keyword
KW-94| transaminases|Keyword
KW-95| lumbosacral|Keyword
KW-96| central necrosis|Keyword
KW-97| nevus syndrome|Keyword
KW-98| avulsion|Keyword
KW-99| pontine pyramidal tract infarct|Keyword
KW-100| male ros|Keyword
KW-101| concentric hypertrophy|Keyword
KW-102| jackson pratt|Keyword
KW-103| vertebral arteries|Keyword
KW-104| coronal reconstructions|Keyword
KW-105| hamstring release|Keyword
KW-106| myelitis|Keyword
