id|medical_specialty|LABEL
MS-0|Pediatrics - Neonatal|MedicalSpecialty
MS-1|Lab Medicine - Pathology|MedicalSpecialty
MS-2|Speech - Language|MedicalSpecialty
MS-3|General Medicine|MedicalSpecialty
MS-4|ENT - Otolaryngology|MedicalSpecialty
MS-5|Sleep Medicine|MedicalSpecialty
MS-6|Diets and Nutritions|MedicalSpecialty
MS-7|IME-QME-Work Comp etc.|MedicalSpecialty
MS-8|Dermatology|MedicalSpecialty
MS-9|Discharge Summary|MedicalSpecialty
MS-10|Neurology|MedicalSpecialty
MS-11|Cardiovascular / Pulmonary|MedicalSpecialty
MS-12|SOAP / Chart / Progress Notes|MedicalSpecialty
MS-13|Hematology - Oncology|MedicalSpecialty
MS-14|Endocrinology|MedicalSpecialty
MS-15|Emergency Room Reports|MedicalSpecialty
MS-16|Dentistry|MedicalSpecialty
MS-17|Surgery|MedicalSpecialty
MS-18|Letters|MedicalSpecialty
MS-19|Psychiatry / Psychology|MedicalSpecialty
MS-20|Podiatry|MedicalSpecialty
MS-21|Obstetrics / Gynecology|MedicalSpecialty
MS-22|Pain Management|MedicalSpecialty
MS-23|Hospice - Palliative Care|MedicalSpecialty
MS-24|Consult - History and Phy.|MedicalSpecialty
MS-25|Rheumatology|MedicalSpecialty
MS-26|Radiology|MedicalSpecialty
MS-27|Urology|MedicalSpecialty
MS-28|Physical Medicine - Rehab|MedicalSpecialty
MS-29|Ophthalmology|MedicalSpecialty
MS-30|Office Notes|MedicalSpecialty
MS-31|Bariatrics|MedicalSpecialty
MS-32|Orthopedic|MedicalSpecialty
MS-33|Neurosurgery|MedicalSpecialty
MS-34|Cosmetic / Plastic Surgery|MedicalSpecialty
MS-35|Autopsy|MedicalSpecialty
MS-36|Gastroenterology|MedicalSpecialty
MS-37|Chiropractic|MedicalSpecialty
MS-38|Nephrology|MedicalSpecialty
MS-39|Allergy / Immunology|MedicalSpecialty
