id|keyword|LABEL
KW-1|hemodialysis|Keyword
KW-2|patellofemoral joint|Keyword
KW-3|exam was unremarkable|Keyword
KW-4|ureteral|Keyword
KW-5|appendix testis|Keyword
KW-6|tonsillectomy|Keyword
KW-7|ductal carcinoma|Keyword
KW-8|cavity|Keyword
KW-9|clavicle|Keyword
KW-10|perirectal abscess|Keyword
KW-11|spondylolysis|Keyword
KW-12|partial duplication|Keyword
KW-13|intraocular pressures|Keyword
KW-14|viscera|Keyword
KW-15|palmaris longus|Keyword
KW-16|transverse inguinal skin crease incision|Keyword
KW-17|nuclear|Keyword
KW-18|wilson-s disease|Keyword
KW-19|lumbosacral paraspinal muscles|Keyword
KW-20|laparoscopic|Keyword
KW-21|bier block|Keyword
KW-22|biparietal|Keyword
KW-23|bee|Keyword
KW-24|gastric|Keyword
KW-25|malrotation|Keyword
KW-26|bilateral knee arthroplasty|Keyword
KW-27|visual memory|Keyword
KW-28|lobar pneumonia|Keyword
KW-29|crowe-davis|Keyword
KW-30|short leg fiberglass casts|Keyword
KW-31|helical|Keyword
KW-32|maxitrol ointment|Keyword
KW-33|respiratory failure|Keyword
KW-34|open calcaneus fracture|Keyword
KW-35|toenails|Keyword
KW-36|vomerine|Keyword
KW-37|lateral wall bladder tumor|Keyword
KW-38|pectoralis major|Keyword
KW-39|arthoplasty|Keyword
KW-40|salpingo|Keyword
KW-41|cerebellar exam|Keyword
KW-42|phonemic paraphasic errors|Keyword
KW-43|kool-aid|Keyword
KW-44|nevus|Keyword
KW-45|mitek suture|Keyword
KW-46|bilateral tympanostomy|Keyword
KW-47|richard simmons|Keyword
KW-48|facet arthrosis|Keyword
KW-49|liftNOTE|Keyword
KW-50|post evacuation|Keyword
KW-51|resting|Keyword
KW-52|functional behavioral analysis|Keyword
KW-53|modified le fort|Keyword
KW-54|acute on chronic|Keyword
KW-55|gingivobuccal|Keyword
KW-56|vena|Keyword
KW-57|aspiration of cyst fluid|Keyword
KW-58|78-diopter lens|Keyword
KW-59|catgut|Keyword
KW-60|a1 pulley|Keyword
KW-61|proleneNOTE|Keyword
KW-62|emergency cesarean section|Keyword
KW-63|medial malleolus osteotomy|Keyword
KW-64|mononeuritis multiplex|Keyword
KW-65|component|Keyword
KW-66|lord maneuver|Keyword
KW-67|bilateral myringotomies|Keyword
