id|entity_id|LABEL|preferred_term
UMLS/C0036609|UMLS/C0036609|UmlsEntity|Structure of pituitary fossa
UMLS/C0746408|UMLS/C0746408|UmlsEntity|Mass/lesion
UMLS/C0001074|UMLS/C0001074|UmlsEntity|Structure of achilles tendon
UMLS/C0002913|UMLS/C0002913|UmlsEntity|Epidural Anesthesia
UMLS/C0002928|UMLS/C0002928|UmlsEntity|Spinal Anesthesia
UMLS/C0003550|UMLS/C0003550|UmlsEntity|Broca Aphasia
UMLS/C0003968|UMLS/C0003968|UmlsEntity|ascorbic acid
UMLS/C0004093|UMLS/C0004093|UmlsEntity|Asthenia
UMLS/C0004134|UMLS/C0004134|UmlsEntity|Ataxia
UMLS/C0004781|UMLS/C0004781|UmlsEntity|Basal Ganglia
UMLS/C0005790|UMLS/C0005790|UmlsEntity|Blood coagulation tests
UMLS/C0006104|UMLS/C0006104|UmlsEntity|Brain
UMLS/C0006121|UMLS/C0006121|UmlsEntity|Brain Stem
UMLS/C0007286|UMLS/C0007286|UmlsEntity|Carpal Tunnel Syndrome
UMLS/C0007767|UMLS/C0007767|UmlsEntity|Cerebral Angiography
UMLS/C0010287|UMLS/C0010287|UmlsEntity|Creatine Kinase
UMLS/C0010592|UMLS/C0010592|UmlsEntity|cyclosporine
UMLS/C0010594|UMLS/C0010594|UmlsEntity|Cyclosporins
UMLS/C0011304|UMLS/C0011304|UmlsEntity|Demyelination
UMLS/C0013769|UMLS/C0013769|UmlsEntity|Elbow
UMLS/C0013770|UMLS/C0013770|UmlsEntity|Elbow joint structure
UMLS/C0013832|UMLS/C0013832|UmlsEntity|Electrolytes
UMLS/C0013845|UMLS/C0013845|UmlsEntity|Electron Spin Resonance Spectroscopy
UMLS/C0015230|UMLS/C0015230|UmlsEntity|Exanthema
UMLS/C0015672|UMLS/C0015672|UmlsEntity|Fatigue
UMLS/C0016928|UMLS/C0016928|UmlsEntity|Gait
UMLS/C0018126|UMLS/C0018126|UmlsEntity|Graft Enhancement
UMLS/C0018563|UMLS/C0018563|UmlsEntity|Hand
UMLS/C0018870|UMLS/C0018870|UmlsEntity|Heel
UMLS/C0018905|UMLS/C0018905|UmlsEntity|Hemagglutination test
UMLS/C0020538|UMLS/C0020538|UmlsEntity|Hypertensive disease
UMLS/C0020580|UMLS/C0020580|UmlsEntity|Hypesthesia
UMLS/C0021081|UMLS/C0021081|UmlsEntity|Immunosuppressive Agents
UMLS/C0022369|UMLS/C0022369|UmlsEntity|JC Virus
UMLS/C0022742|UMLS/C0022742|UmlsEntity|Knee
UMLS/C0022745|UMLS/C0022745|UmlsEntity|Knee joint
UMLS/C0022885|UMLS/C0022885|UmlsEntity|Laboratory Procedures
UMLS/C0022917|UMLS/C0022917|UmlsEntity|Lactate Dehydrogenase
UMLS/C0023216|UMLS/C0023216|UmlsEntity|Lower Extremity
UMLS/C0024090|UMLS/C0024090|UmlsEntity|Lumbar Region
UMLS/C0024485|UMLS/C0024485|UmlsEntity|Magnetic Resonance Imaging
UMLS/C0025677|UMLS/C0025677|UmlsEntity|methotrexate
UMLS/C0026516|UMLS/C0026516|UmlsEntity|Mood (psychological function)
UMLS/C0026612|UMLS/C0026612|UmlsEntity|Motor Skills
UMLS/C0026649|UMLS/C0026649|UmlsEntity|Movement
UMLS/C0026845|UMLS/C0026845|UmlsEntity|Muscle Tissue
UMLS/C0027497|UMLS/C0027497|UmlsEntity|Nausea
UMLS/C0027741|UMLS/C0027741|UmlsEntity|Nerve Block
UMLS/C0028081|UMLS/C0028081|UmlsEntity|Night sweats
UMLS/C0028643|UMLS/C0028643|UmlsEntity|Numbness
UMLS/C0028785|UMLS/C0028785|UmlsEntity|Occipital lobe
UMLS/C0028945|UMLS/C0028945|UmlsEntity|oligodendroglioma
UMLS/C0029127|UMLS/C0029127|UmlsEntity|Optic Disk
UMLS/C0030401|UMLS/C0030401|UmlsEntity|Paracervical Block
UMLS/C0030554|UMLS/C0030554|UmlsEntity|Paresthesia
UMLS/C0030560|UMLS/C0030560|UmlsEntity|Parietal Lobe
UMLS/C0030605|UMLS/C0030605|UmlsEntity|Activated Partial Thromboplastin Time measurement
UMLS/C0030647|UMLS/C0030647|UmlsEntity|Patella
UMLS/C0030971|UMLS/C0030971|UmlsEntity|Perception
UMLS/C0032207|UMLS/C0032207|UmlsEntity|platinum
UMLS/C0032776|UMLS/C0032776|UmlsEntity|Postmenopausal bleeding
UMLS/C0032952|UMLS/C0032952|UmlsEntity|prednisone
UMLS/C0033707|UMLS/C0033707|UmlsEntity|Prothrombin time assay
UMLS/C0034117|UMLS/C0034117|UmlsEntity|Puncture procedure
UMLS/C0034121|UMLS/C0034121|UmlsEntity|Pupil
UMLS/C0034929|UMLS/C0034929|UmlsEntity|Reflex action
UMLS/C0036572|UMLS/C0036572|UmlsEntity|Seizures
UMLS/C0036658|UMLS/C0036658|UmlsEntity|Esthesia
UMLS/C0036674|UMLS/C0036674|UmlsEntity|Sensory Deprivation
UMLS/C0036743|UMLS/C0036743|UmlsEntity|Serologic tests
UMLS/C0037199|UMLS/C0037199|UmlsEntity|Sinusitis
UMLS/C0037817|UMLS/C0037817|UmlsEntity|Speech
