id|vocabulary_code|LABEL
FMA/54709|FMA/54709|UmlsVocabulary
FMA/54721|FMA/54721|UmlsVocabulary
LNC/LP199945-9|LNC/LP199945-9|UmlsVocabulary
LNC/LP36094-8|LNC/LP36094-8|UmlsVocabulary
LNC/MTHU054285|LNC/MTHU054285|UmlsVocabulary
MSH/D012658|MSH/D012658|UmlsVocabulary
MTH/NOCODE|MTH/NOCODE|UmlsVocabulary
NCI/C12497|NCI/C12497|UmlsVocabulary
LNC/LA17213-2|LNC/LA17213-2|UmlsVocabulary
FMA/51061|FMA/51061|UmlsVocabulary
LNC/LP30507-5|LNC/LP30507-5|UmlsVocabulary
LNC/MTHU014777|LNC/MTHU014777|UmlsVocabulary
MSH/D000125|MSH/D000125|UmlsVocabulary
NCI/C32043|NCI/C32043|UmlsVocabulary
MSH/D000767|MSH/D000767|UmlsVocabulary
NCI/C15642|NCI/C15642|UmlsVocabulary
MSH/D000775|MSH/D000775|UmlsVocabulary
NCI/C92887|NCI/C92887|UmlsVocabulary
HPO/HP:0002427|HPO/HP:0002427|UmlsVocabulary
MSH/D001039|MSH/D001039|UmlsVocabulary
NCI/C34394|NCI/C34394|UmlsVocabulary
OMIM/MTHU008009|OMIM/MTHU008009|UmlsVocabulary
OMIM/MTHU022215|OMIM/MTHU022215|UmlsVocabulary
LNC/LP31695-7|LNC/LP31695-7|UmlsVocabulary
MEDLINEPLUS/5380|MEDLINEPLUS/5380|UmlsVocabulary
MSH/D001205|MSH/D001205|UmlsVocabulary
NCI/C285|NCI/C285|UmlsVocabulary
RXNORM/1151|RXNORM/1151|UmlsVocabulary
VANDF/4017471|VANDF/4017471|UmlsVocabulary
VANDF/4017646|VANDF/4017646|UmlsVocabulary
HPO/HP:0025406|HPO/HP:0025406|UmlsVocabulary
MSH/D001247|MSH/D001247|UmlsVocabulary
NCI/C28132|NCI/C28132|UmlsVocabulary
OMIM/MTHU059936|OMIM/MTHU059936|UmlsVocabulary
HPO/HP:0010867|HPO/HP:0010867|UmlsVocabulary
LNC/LA24636-5|LNC/LA24636-5|UmlsVocabulary
MSH/D001259|MSH/D001259|UmlsVocabulary
NCI/C26702|NCI/C26702|UmlsVocabulary
OMIM/MTHU036349|OMIM/MTHU036349|UmlsVocabulary
OMIM/MTHU068459|OMIM/MTHU068459|UmlsVocabulary
FMA/321900|FMA/321900|UmlsVocabulary
FMA/84013|FMA/84013|UmlsVocabulary
MSH/D001479|MSH/D001479|UmlsVocabulary
NCI/C12447|NCI/C12447|UmlsVocabulary
LNC/LP19284-6|LNC/LP19284-6|UmlsVocabulary
LNC/LP6186-3|LNC/LP6186-3|UmlsVocabulary
LNC/LP73955-4|LNC/LP73955-4|UmlsVocabulary
LNC/LP7788-5|LNC/LP7788-5|UmlsVocabulary
LNC/MTHU000051|LNC/MTHU000051|UmlsVocabulary
LNC/MTHU008050|LNC/MTHU008050|UmlsVocabulary
LNC/MTHU008375|LNC/MTHU008375|UmlsVocabulary
MSH/D001780|MSH/D001780|UmlsVocabulary
NCI/C62662|NCI/C62662|UmlsVocabulary
FMA/50801|FMA/50801|UmlsVocabulary
LNC/LA32232-3|LNC/LA32232-3|UmlsVocabulary
LNC/LA4254-4|LNC/LA4254-4|UmlsVocabulary
LNC/LP206702-5|LNC/LP206702-5|UmlsVocabulary
LNC/LP7084-9|LNC/LP7084-9|UmlsVocabulary
LNC/MTHU002079|LNC/MTHU002079|UmlsVocabulary
MSH/D001921|MSH/D001921|UmlsVocabulary
MTH/U001761|MTH/U001761|UmlsVocabulary
NCI/C12439|NCI/C12439|UmlsVocabulary
FMA/79876|FMA/79876|UmlsVocabulary
LNC/LP207337-9|LNC/LP207337-9|UmlsVocabulary
MSH/D001933|MSH/D001933|UmlsVocabulary
MTH/U001762|MTH/U001762|UmlsVocabulary
NCI/C12441|NCI/C12441|UmlsVocabulary
HPO/HP:0012185|HPO/HP:0012185|UmlsVocabulary
ICD9CM/354.0|ICD9CM/354.0|UmlsVocabulary
MEDLINEPLUS/179|MEDLINEPLUS/179|UmlsVocabulary
MSH/D002349|MSH/D002349|UmlsVocabulary
NCI/C34450|NCI/C34450|UmlsVocabulary
OMIM/115430|OMIM/115430|UmlsVocabulary
OMIM/MTHU011164|OMIM/MTHU011164|UmlsVocabulary
ICD9CM/88.41|ICD9CM/88.41|UmlsVocabulary
MSH/D002533|MSH/D002533|UmlsVocabulary
LNC/LP15510-8|LNC/LP15510-8|UmlsVocabulary
LNC/MTHU006937|LNC/MTHU006937|UmlsVocabulary
MSH/D003402|MSH/D003402|UmlsVocabulary
MTH/U000246|MTH/U000246|UmlsVocabulary
NCI/C113245|NCI/C113245|UmlsVocabulary
LNC/LA16776-9|LNC/LA16776-9|UmlsVocabulary
LNC/LP16098-3|LNC/LP16098-3|UmlsVocabulary
LNC/MTHU062952|LNC/MTHU062952|UmlsVocabulary
MSH/D016572|MSH/D016572|UmlsVocabulary
NCI/C406|NCI/C406|UmlsVocabulary
RXNORM/3008|RXNORM/3008|UmlsVocabulary
VANDF/4018761|VANDF/4018761|UmlsVocabulary
MSH/D003524|MSH/D003524|UmlsVocabulary
MSH/D003711|MSH/D003711|UmlsVocabulary
NCI/C117277|NCI/C117277|UmlsVocabulary
OMIM/MTHU002306|OMIM/MTHU002306|UmlsVocabulary
FMA/24901|FMA/24901|UmlsVocabulary
FMA/322616|FMA/322616|UmlsVocabulary
LNC/LA16717-3|LNC/LA16717-3|UmlsVocabulary
LNC/LP199967-3|LNC/LP199967-3|UmlsVocabulary
LNC/LP221486-6|LNC/LP221486-6|UmlsVocabulary
LNC/LP7196-1|LNC/LP7196-1|UmlsVocabulary
LNC/MTHU002674|LNC/MTHU002674|UmlsVocabulary
LNC/MTHU053748|LNC/MTHU053748|UmlsVocabulary
MSH/D004550|MSH/D004550|UmlsVocabulary
FMA/321843|FMA/321843|UmlsVocabulary
FMA/35289|FMA/35289|UmlsVocabulary
MSH/D004551|MSH/D004551|UmlsVocabulary
NCI/C32497|NCI/C32497|UmlsVocabulary
LNC/LP19403-2|LNC/LP19403-2|UmlsVocabulary
LNC/MTHU008531|LNC/MTHU008531|UmlsVocabulary
MSH/D004573|MSH/D004573|UmlsVocabulary
NCI/C464|NCI/C464|UmlsVocabulary
VANDF/4022490|VANDF/4022490|UmlsVocabulary
MSH/D004578|MSH/D004578|UmlsVocabulary
NCI/C16534|NCI/C16534|UmlsVocabulary
HPO/HP:0000988|HPO/HP:0000988|UmlsVocabulary
HPO/HP:4000054|HPO/HP:4000054|UmlsVocabulary
ICD9CM/782.1|ICD9CM/782.1|UmlsVocabulary
LNC/LA29194-0|LNC/LA29194-0|UmlsVocabulary
LNC/LA7469-5|LNC/LA7469-5|UmlsVocabulary
LNC/LP30547-1|LNC/LP30547-1|UmlsVocabulary
LNC/LP75487-6|LNC/LP75487-6|UmlsVocabulary
LNC/MTHU015064|LNC/MTHU015064|UmlsVocabulary
LNC/MTHU020933|LNC/MTHU020933|UmlsVocabulary
MEDLINEPLUS/208|MEDLINEPLUS/208|UmlsVocabulary
MSH/D005076|MSH/D005076|UmlsVocabulary
MTH/638|MTH/638|UmlsVocabulary
MTH/U003405|MTH/U003405|UmlsVocabulary
NCI/C111884|NCI/C111884|UmlsVocabulary
NCI/C39594|NCI/C39594|UmlsVocabulary
OMIM/MTHU008860|OMIM/MTHU008860|UmlsVocabulary
OMIM/MTHU011109|OMIM/MTHU011109|UmlsVocabulary
OMIM/MTHU047706|OMIM/MTHU047706|UmlsVocabulary
HPO/HP:0012378|HPO/HP:0012378|UmlsVocabulary
LNC/LA7542-9|LNC/LA7542-9|UmlsVocabulary
LNC/LP74831-6|LNC/LP74831-6|UmlsVocabulary
LNC/MTHU013358|LNC/MTHU013358|UmlsVocabulary
MEDLINEPLUS/5324|MEDLINEPLUS/5324|UmlsVocabulary
MSH/D005221|MSH/D005221|UmlsVocabulary
NCI/C3036|NCI/C3036|UmlsVocabulary
OMIM/MTHU010062|OMIM/MTHU010062|UmlsVocabulary
LNC/LP100865-7|LNC/LP100865-7|UmlsVocabulary
LNC/LP30516-6|LNC/LP30516-6|UmlsVocabulary
LNC/MTHU015039|LNC/MTHU015039|UmlsVocabulary
LNC/MTHU035898|LNC/MTHU035898|UmlsVocabulary
MSH/D005684|MSH/D005684|UmlsVocabulary
NCI/C75445|NCI/C75445|UmlsVocabulary
MSH/D006082|MSH/D006082|UmlsVocabulary
FMA/9712|FMA/9712|UmlsVocabulary
LNC/LA16719-9|LNC/LA16719-9|UmlsVocabulary
LNC/LP221491-6|LNC/LP221491-6|UmlsVocabulary
LNC/LP7279-5|LNC/LP7279-5|UmlsVocabulary
LNC/MTHU002685|LNC/MTHU002685|UmlsVocabulary
MSH/D006225|MSH/D006225|UmlsVocabulary
NCI/C32712|NCI/C32712|UmlsVocabulary
OMIM/MTHU000072|OMIM/MTHU000072|UmlsVocabulary
FMA/24994|FMA/24994|UmlsVocabulary
FMA/326009|FMA/326009|UmlsVocabulary
LNC/LA25778-4|LNC/LA25778-4|UmlsVocabulary
MSH/D006365|MSH/D006365|UmlsVocabulary
MTH/U003296|MTH/U003296|UmlsVocabulary
LNC/LP28800-8|LNC/LP28800-8|UmlsVocabulary
MSH/D006386|MSH/D006386|UmlsVocabulary
NCI/C130173|NCI/C130173|UmlsVocabulary
HPO/HP:0000822|HPO/HP:0000822|UmlsVocabulary
ICD9CM/401-405.99|ICD9CM/401-405.99|UmlsVocabulary
ICD9CM/997.91|ICD9CM/997.91|UmlsVocabulary
LNC/LA14293-7|LNC/LA14293-7|UmlsVocabulary
LNC/LA7444-8|LNC/LA7444-8|UmlsVocabulary
LNC/LP74941-3|LNC/LP74941-3|UmlsVocabulary
LNC/MTHU020789|LNC/MTHU020789|UmlsVocabulary
MEDLINEPLUS/34|MEDLINEPLUS/34|UmlsVocabulary
MSH/D006973|MSH/D006973|UmlsVocabulary
MTH/005|MTH/005|UmlsVocabulary
NCI/C3117|NCI/C3117|UmlsVocabulary
OMIM/MTHU002068|OMIM/MTHU002068|UmlsVocabulary
OMIM/MTHU014957|OMIM/MTHU014957|UmlsVocabulary
OMIM/MTHU058377|OMIM/MTHU058377|UmlsVocabulary
OMIM/MTHU070458|OMIM/MTHU070458|UmlsVocabulary
HPO/HP:0003474|HPO/HP:0003474|UmlsVocabulary
HPO/HP:0033748|HPO/HP:0033748|UmlsVocabulary
MSH/D006987|MSH/D006987|UmlsVocabulary
NCI/C50445|NCI/C50445|UmlsVocabulary
OMIM/MTHU010221|OMIM/MTHU010221|UmlsVocabulary
LNC/LP31454-9|LNC/LP31454-9|UmlsVocabulary
MSH/D007166|MSH/D007166|UmlsVocabulary
MTH/U002004|MTH/U002004|UmlsVocabulary
NCI/C574|NCI/C574|UmlsVocabulary
VANDF/4021763|VANDF/4021763|UmlsVocabulary
LNC/LP29657-1|LNC/LP29657-1|UmlsVocabulary
MSH/D007577|MSH/D007577|UmlsVocabulary
NCI/C14229|NCI/C14229|UmlsVocabulary
FMA/24974|FMA/24974|UmlsVocabulary
LNC/LA22232-5|LNC/LA22232-5|UmlsVocabulary
LNC/LP199984-8|LNC/LP199984-8|UmlsVocabulary
LNC/LP7381-9|LNC/LP7381-9|UmlsVocabulary
LNC/MTHU002687|LNC/MTHU002687|UmlsVocabulary
MSH/D007717|MSH/D007717|UmlsVocabulary
FMA/35175|FMA/35175|UmlsVocabulary
FMA/35184|FMA/35184|UmlsVocabulary
MSH/D007719|MSH/D007719|UmlsVocabulary
NCI/C32898|NCI/C32898|UmlsVocabulary
MEDLINEPLUS/210|MEDLINEPLUS/210|UmlsVocabulary
NCI/C25294|NCI/C25294|UmlsVocabulary
LNC/LP15033-1|LNC/LP15033-1|UmlsVocabulary
LNC/MTHU002348|LNC/MTHU002348|UmlsVocabulary
MSH/D007770|MSH/D007770|UmlsVocabulary
MTH/U000295|MTH/U000295|UmlsVocabulary
MTH/U002030|MTH/U002030|UmlsVocabulary
NCI/C25184|NCI/C25184|UmlsVocabulary
FMA/7184|FMA/7184|UmlsVocabulary
LNC/LA18112-5|LNC/LA18112-5|UmlsVocabulary
LNC/LA30846-2|LNC/LA30846-2|UmlsVocabulary
LNC/LP199985-5|LNC/LP199985-5|UmlsVocabulary
LNC/LP29948-4|LNC/LP29948-4|UmlsVocabulary
LNC/MTHU011970|LNC/MTHU011970|UmlsVocabulary
MSH/D035002|MSH/D035002|UmlsVocabulary
MTH/U003308|MTH/U003308|UmlsVocabulary
NCI/C12742|NCI/C12742|UmlsVocabulary
NCI/C77625|NCI/C77625|UmlsVocabulary
FMA/61681|FMA/61681|UmlsVocabulary
LNC/LA22230-9|LNC/LA22230-9|UmlsVocabulary
MSH/D008161|MSH/D008161|UmlsVocabulary
NCI/C34004|NCI/C34004|UmlsVocabulary
LNC/LA24328-9|LNC/LA24328-9|UmlsVocabulary
LNC/LP206549-0|LNC/LP206549-0|UmlsVocabulary
LNC/LP206574-8|LNC/LP206574-8|UmlsVocabulary
LNC/LP6406-5|LNC/LP6406-5|UmlsVocabulary
MEDLINEPLUS/3953|MEDLINEPLUS/3953|UmlsVocabulary
MSH/D008279|MSH/D008279|UmlsVocabulary
NCI/C16809|NCI/C16809|UmlsVocabulary
LNC/LA14339-8|LNC/LA14339-8|UmlsVocabulary
LNC/LP16198-1|LNC/LP16198-1|UmlsVocabulary
LNC/MTHU005020|LNC/MTHU005020|UmlsVocabulary
MSH/D008727|MSH/D008727|UmlsVocabulary
NCI/C642|NCI/C642|UmlsVocabulary
RXNORM/6851|RXNORM/6851|UmlsVocabulary
VANDF/4019828|VANDF/4019828|UmlsVocabulary
LNC/LP89863-2|LNC/LP89863-2|UmlsVocabulary
LNC/MTHU031584|LNC/MTHU031584|UmlsVocabulary
MSH/D000339|MSH/D000339|UmlsVocabulary
NCI/C72883|NCI/C72883|UmlsVocabulary
MSH/D009048|MSH/D009048|UmlsVocabulary
LNC/LP96286-7|LNC/LP96286-7|UmlsVocabulary
LNC/MTHU034767|LNC/MTHU034767|UmlsVocabulary
MSH/D009068|MSH/D009068|UmlsVocabulary
