id,tcga_code
ACH-000698,SCLC
ACH-000489,COAD/READ
ACH-000431,SCLC
ACH-000707,DLBC
ACH-000509,
ACH-000522,BLCA
ACH-000613,SARC
ACH-000829,MM
ACH-000557,LAML
ACH-000614,SKCM
ACH-000523,SCLC
ACH-000691,BRCA
ACH-000424,SARC
ACH-000610,SCLC
ACH-001039,COAD/READ
ACH-000420,LIHC
ACH-000648,MESO
ACH-000091,OV
ACH-000584,OV
ACH-000865,ESCA
ACH-000701,OV
ACH-000293,UCEC
ACH-000043,SKCM
ACH-000595,GBM
ACH-000770,LAML
ACH-000505,SARC
ACH-000022,PAAD
ACH-000203,NB
ACH-000609,GBM
ACH-000774,LUAD
ACH-000296,COAD/READ
ACH-000974,UCEC
ACH-001150,SARC
ACH-001171,PAAD
ACH-000875,LUAD
ACH-000155,PAAD
ACH-000135,SKCM
ACH-000069,
ACH-000285,DLBC
ACH-000144,STAD
ACH-000054,SARC
ACH-000841,LUAD
ACH-000256,OV
ACH-000451,LUAD
ACH-000871,SCLC
ACH-000433,KIRC
ACH-000491,COAD/READ
ACH-000727,SCLC
ACH-000129,SCLC
ACH-000298,SCLC
ACH-001021,LIHC
ACH-000842,COAD/READ
ACH-000616,STAD
ACH-000438,
ACH-000413,
ACH-000967,COAD/READ
ACH-000972,UCEC
ACH-000335,MESO
ACH-000654,DLBC
ACH-000465,SKCM
ACH-000953,ALL
ACH-000848,LIHC
ACH-000612,
ACH-000905,BLCA
ACH-000276,BRCA
ACH-000258,BRCA
ACH-000916,LUAD
ACH-000360,COAD/READ
ACH-000893,LUAD
ACH-000939,SARC
ACH-000759,BRCA
ACH-000059,ALL
ACH-001016,GBM
ACH-000367,LUSC
ACH-000448,LUAD
ACH-000883,LGG
ACH-000569,MESO
ACH-000675,LUAD
ACH-000951,LUAD
ACH-000563,LUSC
ACH-001249,BRCA
ACH-001145,OV
ACH-000801,SKCM
ACH-000529,SARC
ACH-000837,LUAD
ACH-000539,LUAD
ACH-000340,SARC
ACH-000071,
ACH-000164,PAAD
ACH-000718,LUAD
ACH-000147,BRCA
ACH-000230,
ACH-000771,HNSC
ACH-000503,HNSC
ACH-000318,ESCA
ACH-000615,SKCM
ACH-000415,HNSC
ACH-000548,HNSC
ACH-001015,
ACH-000441,SKCM
ACH-000028,BRCA
ACH-001023,THCA
ACH-000495,KIRC
ACH-000501,COAD/READ
ACH-000004,LAML
ACH-000270,PAAD
ACH-000189,KIRC
ACH-000237,OV
ACH-000114,PAAD
ACH-000515,SCLC
ACH-000605,ESCA
ACH-000324,OV
ACH-000086,MESO
ACH-000245,DLBC
ACH-000715,HNSC
ACH-000161,LUAD
ACH-000255,STAD
ACH-000412,COAD/READ
ACH-000803,SCLC
ACH-000159,KIRC
ACH-000671,LIHC
ACH-000042,PAAD
ACH-000458,SKCM
ACH-000794,HNSC
ACH-001188,NB
ACH-000592,
ACH-000513,KIRC
ACH-000345,NB
ACH-000992,HNSC
ACH-000917,ESCA
ACH-001162,MM
ACH-000560,STAD
ACH-000317,KIRC
ACH-000836,HNSC
ACH-000741,BLCA
ACH-000305,ESCA
ACH-000998,COAD/READ
ACH-000537,LIHC
ACH-000532,COAD/READ
ACH-000434,
ACH-000933,PAAD
ACH-000723,HNSC
ACH-000731,LUAD
ACH-001088,
ACH-000459,KIRC
ACH-000941,UCEC
ACH-001234,
ACH-000949,STAD
ACH-000947,OV
ACH-000302,UCEC
ACH-001078,COAD/READ
ACH-000266,PAAD
ACH-000986,COAD/READ
ACH-000726,ESCA
ACH-000452,ESCA
ACH-000908,STAD
ACH-000173,UCEC
ACH-000471,LIHC
ACH-000416,LUAD
ACH-000635,OV
ACH-000286,COAD/READ
ACH-000970,COAD/READ
ACH-000746,STAD
ACH-000197,ALL
ACH-000578,
ACH-000959,COAD/READ
ACH-001214,
ACH-000325,STAD
ACH-000225,STAD
ACH-000485,STAD
ACH-000658,MM
ACH-000333,OV
ACH-000768,BRCA
ACH-000291,OV
ACH-000874,ALL
ACH-000663,OV
ACH-000617,OV
ACH-000393,LIHC
ACH-000997,COAD/READ
ACH-000470,COAD/READ
ACH-000376,GBM
ACH-000304,SKCM
ACH-000476,LIHC
ACH-000383,ESCA
ACH-000963,COAD/READ
ACH-000620,LIHC
ACH-000748,SARC
ACH-000447,LUAD
ACH-000261,LUSC
ACH-000665,LUSC
ACH-000395,LUSC
ACH-000734,LIHC
ACH-000633,STAD
ACH-000401,SKCM
ACH-000729,SCLC
ACH-000965,UCEC
ACH-000396,BLCA
ACH-000878,LUSC
ACH-000152,GBM
ACH-000264,LUAD
ACH-000309,LUAD
ACH-000669,LUSC
ACH-000425,SKCM
ACH-000192,UCEC
ACH-000988,UCEC
ACH-000879,UCEC
ACH-000027,
ACH-000756,LGG
ACH-000030,LUAD
ACH-000809,ESCA
ACH-000201,SARC
ACH-000599,PAAD
ACH-000789,
ACH-000062,LUAD
ACH-000702,
ACH-000243,PAAD
ACH-000463,
ACH-000823,ESCA
ACH-000693,ESCA
ACH-000118,PAAD
ACH-000435,UCEC
ACH-000047,STAD
ACH-000764,STAD
ACH-000103,OV
ACH-000755,BRCA
ACH-000598,MM
ACH-000588,MM
ACH-000576,MM
ACH-000498,LAML
ACH-000419,MM
ACH-000445,GBM
ACH-000479,GBM
ACH-000446,NB
ACH-000444,
ACH-000541,MM
ACH-000351,STAD
ACH-000758,STAD
ACH-000108,UNABLE TO CLASSIFY
ACH-000076,LCML
ACH-000564,MM
ACH-000472,HNSC
ACH-000126,GBM
ACH-000480,LIHC
ACH-000862,BLCA
ACH-000250,KIRC
ACH-000976,
ACH-000773,
ACH-000157,DLBC
ACH-000231,LGG
ACH-000990,UCEC
ACH-000005,LAML
ACH-000808,
ACH-001036,LAML
ACH-000946,UCEC
ACH-000826,UNABLE TO CLASSIFY
ACH-000146,LAML
ACH-000697,DLBC
ACH-000149,NB
ACH-000859,BRCA
ACH-000783,BRCA
ACH-000984,UCEC
ACH-000269,GBM
ACH-000831,UCEC
ACH-000778,HNSC
ACH-000546,HNSC
ACH-000714,MM
ACH-000265,PAAD
ACH-000507,STAD
ACH-001048,OV
ACH-000167,MM
ACH-000484,KIRC
ACH-000847,STAD
ACH-000390,LUSC
ACH-000239,STAD
ACH-000626,MM
ACH-000674,STAD
ACH-001017,STAD
ACH-000721,BRCA
ACH-000464,GBM
ACH-000889,MM
ACH-000662,
ACH-000851,LUAD
ACH-000843,LUSC
ACH-000811,OV
ACH-000094,PAAD
ACH-000583,DLBC
ACH-000869,LUAD
ACH-000440,DLBC
ACH-000555,KIRC
ACH-000923,DLBC
ACH-000052,SARC
ACH-000248,BRCA
ACH-000253,COAD/READ
ACH-000354,PAAD
ACH-000892,LUAD
ACH-000860,LUAD
ACH-000138,PAAD
ACH-000001,OV
ACH-000035,LUAD
ACH-000888,LUAD
ACH-000589,LUAD
ACH-000858,LUSC
ACH-000148,BRCA
ACH-000536,BRCA
ACH-000483,LIHC
ACH-000039,SARC
ACH-000061,ALL
ACH-000846,HNSC
ACH-001189,
ACH-000934,BRCA
ACH-000573,BRCA
ACH-000031,PAAD
ACH-000334,DLBC
ACH-000041,SARC
ACH-000832,HNSC
ACH-000449,SARC
ACH-000890,SCLC
ACH-000496,LUAD
ACH-000835,SARC
ACH-000017,BRCA
ACH-000581,STAD
ACH-000355,SCLC
ACH-000427,STAD
ACH-000364,SARC
ACH-000389,LGG
ACH-000081,LAML
ACH-000374,BRCA
ACH-000018,BLCA
ACH-000096,SARC
ACH-000223,BRCA
ACH-000930,BRCA
ACH-000247,STAD
ACH-000410,SARC
ACH-000055,MB
ACH-000181,HNSC
ACH-000699,BRCA
ACH-000200,LGG
ACH-000397,UCEC
ACH-001093,
ACH-000694,ESCA
ACH-000622,LGG
ACH-000637,ESCA
ACH-000873,ESCA
ACH-000928,UCEC
ACH-000469,GBM
ACH-000672,
ACH-000153,MESO
ACH-001064,
ACH-000341,NB
