START_ID|END_ID
A_0|AL_0
A_1|AL_1
A_2|AL_2
A_3|AL_3
A_4|AL_4
A_5|AL_5
A_6|AL_6
A_7|AL_7
A_8|AL_8
A_9|AL_9
A_10|AL_10
A_11|AL_11
A_12|AL_12
A_13|AL_13
A_14|AL_14
A_15|AL_15
A_16|AL_16
A_17|AL_17
A_18|AL_18
A_19|AL_19
A_20|AL_20
A_21|AL_21
A_22|AL_22
A_23|AL_23
A_24|AL_24
A_25|AL_25
A_26|AL_26
A_27|AL_27
A_28|AL_28
A_29|AL_29
A_30|AL_30
A_31|AL_31
A_32|AL_32
A_33|AL_33
A_34|AL_34
A_35|AL_35
A_36|AL_36
A_37|AL_37
A_38|AL_38
A_39|AL_39
A_40|AL_40
A_41|AL_41
A_42|AL_42
A_43|AL_43
A_44|AL_44
A_45|AL_45
A_46|AL_46
A_47|AL_47
A_48|AL_48
A_49|AL_49
