ID|LABEL|POLICY_NUMBER|POLICY_BIND_DATE|POLICY_STATE|POLICY_CSL|POLICY_DEDUCTABLE|POLICY_ANNUAL_PREMIUM|UMBRELLA_LIMIT|AUTO_MAKE|AUTO_YEAR|AGENT_ID|CLAIM_ID
Q_0.1|policy|Q_0.1|2021-06-02|NJ|412.1|80.39|371.78|4012199.13|audi|2000|A_0|
Q_0.2|policy|Q_0.2|2021-01-14|VT|689.73|45.59|312.89|7581374.75|rivian|1977|A_0|
Q_0.3|policy|Q_0.3|2021-01-30|IA|946.06|33.82|335.82|9485932.32|jeep|2007|A_0|
Q_0.4|policy|Q_0.4|2021-03-05|LA|515.43|77.52|653.97|1123649.96|audi|1983|A_0|
Q_0.5|policy|Q_0.5|2021-12-21|RI|775.63|36.38|402.99|5110950.04|porsche|1993|A_0|
Q_0.6|policy|Q_0.6|2022-01-13|VA|240.98|31.56|780.13|1222210.14|rivian|1995|A_0|
Q_0.7|policy|Q_0.7|2021-12-08|TX|490.29|73.84|267.46|3316480.88|chevy|2018|A_0|
Q_0.8|policy|Q_0.8|2021-06-10|IL|947.49|55.28|730.34|1285107.5|volvo|1975|A_0|
Q_0.9|policy|Q_0.9|2021-01-19|KS|607.76|30.47|646.84|764138.4|audi|1989|A_0|
Q_0.10|policy|Q_0.10|2022-04-10|NE|875.96|33.95|260.07|6428589.58|volvo|2002|A_0|
Q_0.11|policy|Q_0.11|2022-03-06|OR|678.65|66.75|222.56|62731.49|volvo|2018|A_0|
Q_0.12|policy|Q_0.12|2022-01-31|AZ|942.35|71.02|287.81|1239566.99|audi|2010|A_0|
Q_0.13|policy|Q_0.13|2021-05-18|AL|342.62|71.13|696.92|1441892.11|audi|2009|A_0|
Q_0.14|policy|Q_0.14|2021-03-31|UT|571.11|17.21|630.15|6289123.41|audi|2005|A_0|
Q_0.15|policy|Q_0.15|2021-01-10|MS|239.12|23.45|961.99|40631.35|audi|2012|A_0|
Q_0.16|policy|Q_0.16|2021-04-06|AZ|234.61|94.45|440.97|1753600.19|jeep|2005|A_0|
Q_0.17|policy|Q_0.17|2021-01-24|MI|531.98|55.4|451.45|3127582.48|porsche|1978|A_0|
Q_0.18|policy|Q_0.18|2022-01-03|LA|216.38|44.09|625.29|1874255.27|canoo|1998|A_0|
Q_0.19|policy|Q_0.19|2022-04-17|LA|761.53|16.73|176.97|1563123.19|porsche|1976|A_0|
Q_0.20|policy|Q_0.20|2021-02-12|CO|516.96|80.94|228.18|962816.53|chevy|1973|A_0|
Q_0.21|policy|Q_0.21|2022-03-14|TN|216.59|87.09|248.14|3811848.57|chevy|1977|A_0|
Q_0.22|policy|Q_0.22|2022-04-16|NM|434.1|67.66|732.79|8863215.65|volvo|2012|A_0|
Q_0.23|policy|Q_0.23|2021-11-26|HI|861.0|62.64|931.64|4999878.69|audi|2015|A_0|
Q_0.24|policy|Q_0.24|2021-06-28|TX|258.47|20.58|910.29|9496139.84|rivian|1989|A_0|
Q_0.25|policy|Q_0.25|2021-02-20|CT|235.14|70.29|859.08|5002591.16|audi|1987|A_0|
Q_0.26|policy|Q_0.26|2021-02-06|OH|323.37|81.41|364.81|9941146.26|jeep|1979|A_0|
Q_0.27|policy|Q_0.27|2022-04-21|PA|232.75|54.68|415.17|3164446.45|chevy|1989|A_0|
Q_0.28|policy|Q_0.28|2021-06-09|MN|948.26|40.08|581.85|2474287.43|jeep|2013|A_0|
Q_0.29|policy|Q_0.29|2022-01-22|WI|663.93|90.62|304.36|8770927.74|volvo|2014|A_0|
Q_0.30|policy|Q_0.30|2021-10-24|NV|433.32|67.37|760.11|2383260.73|canoo|2002|A_0|
Q_0.31|policy|Q_0.31|2021-08-10|WY|731.39|94.14|774.42|572227.85|porsche|2006|A_0|
Q_0.32|policy|Q_0.32|2021-05-31|RI|479.89|88.25|922.37|2544650.21|rivian|1991|A_0|
Q_0.33|policy|Q_0.33|2021-05-10|NC|126.67|26.71|934.57|8364616.08|rivian|2001|A_0|
Q_0.34|policy|Q_0.34|2021-11-12|IN|760.85|71.96|523.38|6524006.96|porsche|2003|A_0|
Q_0.35|policy|Q_0.35|2021-08-23|LA|510.21|24.31|780.1|8159971.78|audi|1979|A_0|
Q_0.36|policy|Q_0.36|2021-09-07|OK|954.91|42.77|296.68|5333472.58|canoo|1991|A_0|
Q_0.37|policy|Q_0.37|2021-10-26|NE|395.41|73.86|571.89|1735553.82|porsche|1999|A_0|
Q_0.38|policy|Q_0.38|2022-02-24|NJ|630.76|54.0|278.26|2901441.15|chevy|1975|A_0|
Q_0.39|policy|Q_0.39|2021-09-08|WA|102.4|93.53|622.46|8369656.68|ford|1975|A_0|
Q_0.40|policy|Q_0.40|2022-02-15|NY|652.74|91.23|346.08|162021.76|volvo|2019|A_0|
Q_0.41|policy|Q_0.41|2022-03-24|WI|455.18|96.78|371.13|9313954.84|volvo|1977|A_0|
Q_0.42|policy|Q_0.42|2021-06-03|RI|901.87|13.37|245.17|7123663.13|volvo|1997|A_0|
Q_0.43|policy|Q_0.43|2021-06-11|GA|843.42|31.92|220.81|1735437.49|volvo|2011|A_0|
Q_0.44|policy|Q_0.44|2022-01-30|OR|559.46|17.47|596.39|7885317.38|rivian|1998|A_0|
Q_0.45|policy|Q_0.45|2021-12-12|NV|911.02|38.62|377.92|9190418.77|ford|1971|A_0|
Q_0.46|policy|Q_0.46|2021-07-30|LA|391.91|28.63|159.44|6120224.38|volvo|2008|A_0|
Q_0.47|policy|Q_0.47|2021-07-04|MI|528.25|60.34|665.51|3635079.69|ford|2002|A_0|
Q_0.48|policy|Q_0.48|2021-03-25|VT|630.31|73.97|594.92|4468403.35|canoo|2003|A_0|
Q_0.49|policy|Q_0.49|2021-06-03|TX|104.81|59.22|200.97|8136595.56|rivian|1971|A_0|
Q_0.50|policy|Q_0.50|2021-10-12|IN|907.04|37.05|309.72|9694501.06|rivian|2000|A_0|
Q_0.51|policy|Q_0.51|2021-07-24|AK|970.37|99.56|945.5|4747043.71|porsche|1982|A_0|
Q_0.52|policy|Q_0.52|2021-03-18|WI|373.04|48.55|425.11|8410952.35|porsche|2014|A_0|
Q_0.53|policy|Q_0.53|2021-04-16|IL|680.77|72.13|774.86|7005959.24|ford|1991|A_0|
Q_0.54|policy|Q_0.54|2021-12-21|AR|192.93|32.71|903.7|1114418.47|chevy|2009|A_0|
Q_0.55|policy|Q_0.55|2022-02-05|AK|483.22|15.77|130.43|4542499.14|jeep|1984|A_0|
Q_0.56|policy|Q_0.56|2021-10-30|NE|121.16|92.38|968.52|4076290.34|audi|2015|A_0|
Q_0.57|policy|Q_0.57|2021-11-05|NY|913.23|23.51|748.4|8680328.53|jeep|1979|A_0|
Q_0.58|policy|Q_0.58|2022-04-06|ID|479.24|41.99|290.34|7608610.95|porsche|2018|A_0|
Q_0.59|policy|Q_0.59|2021-11-10|AZ|578.03|54.54|117.17|4956379.57|canoo|1974|A_0|
Q_0.60|policy|Q_0.60|2021-08-13|ND|767.26|90.2|275.36|6288642.84|ford|1981|A_0|
Q_0.61|policy|Q_0.61|2021-06-01|RI|811.18|51.13|573.25|4002862.12|rivian|2020|A_0|
Q_0.62|policy|Q_0.62|2021-08-30|VT|111.13|12.4|228.64|7858785.61|volvo|1989|A_0|
Q_0.63|policy|Q_0.63|2021-07-27|CO|157.57|14.61|528.27|4152321.63|rivian|1970|A_0|
Q_0.64|policy|Q_0.64|2022-02-27|FL|437.46|15.12|885.35|5229161.71|chevy|2009|A_0|
Q_0.65|policy|Q_0.65|2022-02-27|KS|495.07|86.23|798.73|2380840.32|audi|1986|A_0|
Q_0.66|policy|Q_0.66|2021-11-08|OK|357.88|53.42|575.4|6345498.01|porsche|1974|A_0|
Q_0.67|policy|Q_0.67|2021-01-04|DE|399.93|62.07|879.6|326290.89|audi|2009|A_0|
Q_0.68|policy|Q_0.68|2021-03-27|MO|151.56|62.39|470.77|6686283.57|canoo|1992|A_0|
Q_0.69|policy|Q_0.69|2021-09-20|TX|598.27|77.65|738.81|781658.91|audi|1992|A_0|
Q_0.70|policy|Q_0.70|2022-03-18|OK|400.25|89.43|248.69|6283010.47|audi|2005|A_0|
Q_0.71|policy|Q_0.71|2021-11-06|NE|840.9|24.56|197.24|4692045.39|volvo|1988|A_0|
Q_0.72|policy|Q_0.72|2021-04-21|KY|174.78|45.4|468.41|4810797.75|audi|1973|A_0|
Q_0.73|policy|Q_0.73|2021-04-19|LA|734.16|53.78|860.74|2357724.11|ford|1985|A_0|
Q_0.74|policy|Q_0.74|2022-03-16|MN|270.28|65.45|874.68|1852455.38|rivian|2001|A_0|
Q_0.75|policy|Q_0.75|2022-01-21|WV|424.48|97.48|123.23|720279.31|volvo|1999|A_0|
Q_0.76|policy|Q_0.76|2021-09-21|VA|108.76|19.72|204.97|9224595.42|jeep|1983|A_0|
Q_0.77|policy|Q_0.77|2022-02-14|VA|643.74|69.71|981.45|9159168.45|chevy|1986|A_0|
Q_0.78|policy|Q_0.78|2021-05-18|IL|964.79|66.81|890.88|7054296.5|chevy|2015|A_0|
Q_0.79|policy|Q_0.79|2021-05-17|CA|826.47|84.85|651.68|103375.58|volvo|2018|A_0|
Q_0.80|policy|Q_0.80|2022-04-04|FL|531.7|34.04|135.53|1693108.99|porsche|1986|A_0|
Q_0.81|policy|Q_0.81|2021-03-28|KS|724.77|68.71|803.22|8659352.18|canoo|2022|A_0|
Q_0.82|policy|Q_0.82|2021-09-18|PA|957.06|20.3|206.23|4032484.45|jeep|1985|A_0|
Q_0.83|policy|Q_0.83|2021-04-06|KY|805.12|25.7|472.62|5825349.63|audi|2005|A_0|
Q_0.84|policy|Q_0.84|2021-12-14|MO|152.59|64.31|557.27|3712287.81|ford|1991|A_0|
Q_0.85|policy|Q_0.85|2021-11-28|MT|582.52|24.57|127.65|6426826.22|porsche|2012|A_0|
Q_0.86|policy|Q_0.86|2021-03-17|ME|245.75|35.24|870.5|4855596.92|ford|1995|A_0|
Q_0.87|policy|Q_0.87|2021-05-27|NY|186.79|90.6|422.05|9291957.33|porsche|1995|A_0|
Q_0.88|policy|Q_0.88|2022-03-21|HI|641.17|60.54|697.14|2555724.07|canoo|1999|A_0|
Q_0.89|policy|Q_0.89|2021-06-24|MD|585.68|21.85|912.16|5695524.36|audi|2018|A_0|
Q_0.90|policy|Q_0.90|2021-07-02|FL|792.72|80.04|829.43|7907876.21|volvo|1990|A_0|
Q_0.91|policy|Q_0.91|2021-11-16|OH|181.85|65.14|470.24|5628897.45|chevy|2009|A_0|
Q_0.92|policy|Q_0.92|2021-10-30|IN|827.86|17.14|592.64|5567455.64|canoo|1986|A_0|
Q_0.93|policy|Q_0.93|2022-01-19|TN|371.94|34.06|627.68|3108538.24|jeep|1971|A_0|
Q_0.94|policy|Q_0.94|2021-04-16|KS|698.08|34.29|256.41|9067896.6|rivian|1980|A_0|
Q_0.95|policy|Q_0.95|2021-11-03|OK|565.92|50.5|289.19|2266573.87|canoo|2002|A_0|
Q_0.96|policy|Q_0.96|2021-07-02|UT|830.35|68.67|802.81|4007485.18|porsche|2007|A_0|
Q_0.97|policy|Q_0.97|2022-01-27|IL|903.26|78.33|692.19|5490749.13|rivian|2015|A_0|
Q_0.98|policy|Q_0.98|2021-03-03|NC|302.03|15.26|367.46|871897.99|audi|2008|A_0|
Q_0.99|policy|Q_0.99|2021-06-20|IL|107.77|84.06|477.17|2366875.84|canoo|2021|A_0|
Q_1.1|policy|Q_1.1|2021-07-08|AK|303.67|38.36|145.78|4847643.83|ford|2020|A_1|
Q_1.2|policy|Q_1.2|2021-12-10|SD|472.82|45.99|637.26|1003540.75|ford|2019|A_1|
Q_1.3|policy|Q_1.3|2021-07-31|PA|880.1|49.36|238.15|739149.95|ford|1975|A_1|
Q_1.4|policy|Q_1.4|2021-11-09|IN|485.8|26.88|257.84|1596028.71|ford|1989|A_1|
Q_1.5|policy|Q_1.5|2021-12-11|KY|180.22|48.71|327.8|5641516.24|jeep|2004|A_1|
Q_1.6|policy|Q_1.6|2021-06-10|UT|279.62|99.66|266.41|5107116.84|audi|2018|A_1|
Q_1.7|policy|Q_1.7|2021-03-29|SD|496.73|78.69|184.51|7048154.81|chevy|2003|A_1|
Q_1.8|policy|Q_1.8|2021-01-02|KS|924.85|59.43|333.13|2833058.55|chevy|2021|A_1|
Q_1.9|policy|Q_1.9|2022-04-24|TX|555.75|67.85|643.94|1379701.71|volvo|1996|A_1|
Q_1.10|policy|Q_1.10|2021-05-26|OH|584.01|55.8|749.95|7950804.07|jeep|1995|A_1|
Q_1.11|policy|Q_1.11|2021-10-22|KY|409.72|99.13|845.98|7981295.43|canoo|2019|A_1|
Q_1.12|policy|Q_1.12|2021-09-19|NJ|932.73|11.35|659.29|9942811.67|volvo|1986|A_1|
Q_1.13|policy|Q_1.13|2021-12-13|TN|738.3|55.22|120.11|667236.82|ford|1979|A_1|
Q_1.14|policy|Q_1.14|2021-05-24|LA|135.27|50.51|592.97|9358399.65|canoo|1977|A_1|
Q_1.15|policy|Q_1.15|2021-04-16|KY|950.05|75.78|443.65|7374722.18|chevy|1976|A_1|
Q_1.16|policy|Q_1.16|2022-03-14|SD|769.05|75.89|720.89|6827280.82|volvo|2006|A_1|
Q_1.17|policy|Q_1.17|2021-06-18|NV|727.61|26.82|571.01|5782667.91|volvo|2021|A_1|
Q_1.18|policy|Q_1.18|2021-04-19|FL|223.39|72.35|910.61|2166890.4|volvo|2003|A_1|
Q_1.19|policy|Q_1.19|2021-09-17|NH|339.43|43.27|844.7|4914075.69|rivian|2021|A_1|
Q_1.20|policy|Q_1.20|2021-01-30|WV|839.79|49.82|193.51|347462.08|canoo|1977|A_1|
Q_1.21|policy|Q_1.21|2021-03-12|MI|829.09|94.1|637.32|6216386.25|jeep|1990|A_1|
Q_1.22|policy|Q_1.22|2022-01-03|GA|979.39|54.16|972.43|2051734.31|rivian|2005|A_1|
Q_1.23|policy|Q_1.23|2021-01-29|MO|490.19|78.32|599.37|567228.43|chevy|1988|A_1|
Q_1.24|policy|Q_1.24|2021-04-10|CT|380.86|45.35|952.52|6569113.03|porsche|2004|A_1|
Q_1.25|policy|Q_1.25|2021-03-24|MI|564.94|19.37|755.64|5392333.68|ford|1985|A_1|
Q_1.26|policy|Q_1.26|2021-08-27|NY|371.26|38.2|954.07|8255158.12|canoo|2012|A_1|
Q_1.27|policy|Q_1.27|2021-05-20|DE|994.89|71.59|833.76|5258266.52|canoo|2001|A_1|
Q_1.28|policy|Q_1.28|2021-12-01|AZ|482.86|71.79|658.75|2251702.44|volvo|1978|A_1|
Q_1.29|policy|Q_1.29|2021-08-03|DC|881.98|34.98|822.47|9497771.33|rivian|1989|A_1|
Q_1.30|policy|Q_1.30|2022-01-23|MD|411.46|12.61|605.48|2500717.32|porsche|2015|A_1|
Q_1.31|policy|Q_1.31|2021-07-12|NH|836.06|47.22|807.16|2892221.56|chevy|1971|A_1|
Q_1.32|policy|Q_1.32|2021-05-22|ND|585.27|61.39|424.15|1271955.66|porsche|2012|A_1|
Q_1.33|policy|Q_1.33|2021-10-29|NM|958.3|20.77|871.47|6061544.05|volvo|1996|A_1|
Q_1.34|policy|Q_1.34|2021-01-11|AK|661.62|49.92|870.13|4378004.2|audi|2021|A_1|
Q_1.35|policy|Q_1.35|2021-07-15|WI|565.9|73.54|230.43|199392.2|audi|2012|A_1|
Q_1.36|policy|Q_1.36|2021-02-26|NJ|662.21|18.41|525.35|1452844.49|ford|1980|A_1|
Q_1.37|policy|Q_1.37|2021-11-14|WA|825.47|73.66|879.18|8007110.09|volvo|1989|A_1|
Q_1.38|policy|Q_1.38|2021-11-17|NY|366.31|10.84|505.46|8470055.47|porsche|1971|A_1|
Q_1.39|policy|Q_1.39|2021-07-18|SC|924.34|70.24|850.04|4472353.96|rivian|2021|A_1|
Q_1.40|policy|Q_1.40|2021-06-07|CA|265.81|90.95|886.62|9091006.54|audi|1988|A_1|
Q_1.41|policy|Q_1.41|2021-01-04|PA|644.24|60.28|152.18|8948603.62|canoo|1979|A_1|
Q_1.42|policy|Q_1.42|2021-01-23|ME|485.22|74.65|655.73|3128160.6|chevy|2015|A_1|
Q_1.43|policy|Q_1.43|2021-08-30|WY|581.44|64.97|395.86|999388.07|canoo|1990|A_1|
Q_1.44|policy|Q_1.44|2021-09-06|CA|397.84|39.26|556.6|1175898.74|rivian|1987|A_1|
Q_1.45|policy|Q_1.45|2022-03-31|NE|922.75|87.91|908.68|4666792.47|audi|1988|A_1|
Q_1.46|policy|Q_1.46|2021-01-29|WV|177.93|65.38|414.69|7822586.89|jeep|1982|A_1|
Q_1.47|policy|Q_1.47|2021-11-06|ME|152.08|68.99|581.35|3644593.57|chevy|1997|A_1|
Q_1.48|policy|Q_1.48|2021-07-27|ID|429.73|27.39|538.83|5759197.6|chevy|2008|A_1|
