START_ID|END_ID
D_2.0|X_28
D_2.1|X_23
D_2.2|X_46
D_3.0|X_22
D_5.0|X_2
D_5.1|X_21
D_6.0|X_37
D_8.0|X_5
D_9.0|X_44
D_9.1|X_40
D_9.2|X_34
D_10.0|X_24
D_10.1|X_39
D_10.2|X_32
D_10.3|X_40
D_10.4|X_8
D_11.0|X_38
D_12.0|X_27
D_12.1|X_29
D_12.2|X_6
D_12.3|X_17
D_13.0|X_28
D_13.1|X_19
D_13.2|X_5
D_14.0|X_39
D_14.1|X_18
D_15.0|X_6
D_16.0|X_48
D_17.0|X_18
D_17.1|X_23
D_17.2|X_20
D_17.3|X_42
D_19.0|X_17
D_19.1|X_27
D_20.0|X_46
D_20.1|X_13
D_20.2|X_47
D_20.3|X_11
D_20.4|X_17
D_21.0|X_34
D_21.1|X_2
D_22.0|X_13
D_23.0|X_50
D_23.1|X_3
D_23.2|X_28
D_23.3|X_10
D_24.0|X_16
D_24.1|X_41
D_24.2|X_34
D_25.0|X_5
D_26.0|X_50
D_26.1|X_44
D_27.0|X_5
D_28.0|X_10
D_28.1|X_3
D_28.2|X_49
D_29.0|X_17
D_29.1|X_38
D_29.2|X_30
D_29.3|X_31
D_30.0|X_11
D_30.1|X_12
D_31.0|X_16
D_31.1|X_3
D_31.2|X_30
D_31.3|X_38
D_32.0|X_4
D_32.1|X_27
D_32.2|X_20
D_32.3|X_24
D_32.4|X_38
D_33.0|X_45
D_33.1|X_34
D_33.2|X_24
D_33.3|X_44
D_34.0|X_21
D_34.1|X_30
D_36.0|X_9
D_36.1|X_42
D_37.0|X_8
D_37.1|X_35
D_37.2|X_44
D_38.0|X_30
D_38.1|X_19
D_38.2|X_32
D_39.0|X_27
D_39.1|X_17
D_40.0|X_22
D_40.1|X_16
D_40.2|X_5
D_42.0|X_39
D_43.0|X_47
D_44.0|X_5
D_44.1|X_35
D_44.2|X_18
D_45.0|X_38
D_46.0|X_40
D_46.1|X_2
D_46.2|X_14
D_46.3|X_0
D_46.4|X_41
D_47.0|X_13
D_47.1|X_39
D_47.2|X_41
D_48.0|X_31
D_48.1|X_50
D_48.2|X_50
D_48.3|X_0
D_49.0|X_49
D_49.1|X_44
D_49.2|X_28
D_49.3|X_20
D_49.4|X_32
D_50.0|X_22
D_52.0|X_7
D_52.1|X_29
D_53.0|X_35
D_54.0|X_38
D_54.1|X_1
D_54.2|X_25
D_55.0|X_6
D_55.1|X_33
D_55.2|X_39
D_55.3|X_31
D_56.0|X_36
D_56.1|X_45
D_56.2|X_48
D_57.0|X_0
D_58.0|X_38
D_58.1|X_41
D_58.2|X_39
D_58.3|X_8
D_58.4|X_28
D_59.0|X_7
D_60.0|X_43
D_60.1|X_1
D_60.2|X_24
D_60.3|X_31
D_60.4|X_21
D_61.0|X_29
D_61.1|X_6
D_61.2|X_45
D_61.3|X_28
D_61.4|X_25
D_63.0|X_30
D_63.1|X_32
D_63.2|X_47
D_64.0|X_24
D_64.1|X_20
D_64.2|X_28
D_65.0|X_12
D_65.1|X_9
D_65.2|X_25
D_65.3|X_11
D_65.4|X_45
D_67.0|X_21
D_68.0|X_13
D_69.0|X_3
D_69.1|X_4
D_69.2|X_34
D_69.3|X_4
D_69.4|X_18
D_71.0|X_47
D_71.1|X_21
D_71.2|X_26
D_73.0|X_23
D_73.1|X_0
D_73.2|X_11
D_73.3|X_24
D_73.4|X_48
D_74.0|X_19
D_75.0|X_45
D_75.1|X_35
D_75.2|X_39
D_75.3|X_20
D_76.0|X_28
D_76.1|X_3
D_76.2|X_35
D_77.0|X_32
D_77.1|X_13
D_77.2|X_42
D_77.3|X_21
D_77.4|X_9
D_78.0|X_25
D_78.1|X_44
D_78.2|X_9
D_78.3|X_24
D_78.4|X_43
D_79.0|X_12
D_80.0|X_9
D_80.1|X_7
D_80.2|X_28
D_80.3|X_48
D_80.4|X_3
D_81.0|X_38
D_81.1|X_37
D_81.2|X_37
D_81.3|X_20
D_82.0|X_17
D_82.1|X_46
D_82.2|X_45
D_83.0|X_40
D_83.1|X_8
D_83.2|X_10
D_85.0|X_26
D_85.1|X_5
D_85.2|X_36
D_85.3|X_45
D_86.0|X_22
D_86.1|X_21
D_86.2|X_39
D_86.3|X_49
D_86.4|X_12
D_87.0|X_32
D_87.1|X_18
D_87.2|X_30
D_87.3|X_28
D_87.4|X_39
D_88.0|X_47
D_88.1|X_13
D_88.2|X_13
D_88.3|X_41
D_88.4|X_15
D_90.0|X_50
D_90.1|X_50
D_90.2|X_37
D_91.0|X_30
D_91.1|X_43
D_91.2|X_11
D_92.0|X_38
D_92.1|X_22
D_92.2|X_41
D_92.3|X_34
D_93.0|X_43
D_93.1|X_19
D_94.0|X_27
D_94.1|X_41
D_94.2|X_19
D_94.3|X_3
D_95.0|X_39
D_95.1|X_1
D_95.2|X_16
D_95.3|X_2
D_96.0|X_24
D_96.1|X_4
D_96.2|X_48
D_96.3|X_39
D_97.0|X_19
D_97.1|X_29
D_97.2|X_13
D_99.0|X_15
D_99.1|X_2
D_102.0|X_49
D_102.1|X_3
D_102.2|X_0
D_102.3|X_0
D_102.4|X_23
D_103.0|X_0
D_103.1|X_17
D_103.2|X_8
D_103.3|X_10
D_103.4|X_26
D_104.0|X_33
D_106.0|X_34
D_108.0|X_5
D_109.0|X_40
D_109.1|X_38
D_109.2|X_41
D_109.3|X_45
D_109.4|X_49
D_110.0|X_29
D_110.1|X_9
D_111.0|X_11
D_111.1|X_14
D_111.2|X_8
D_111.3|X_23
D_111.4|X_49
D_112.0|X_50
D_113.0|X_25
D_114.0|X_22
